stt,province,region,latitude,longitude,distance_to_hanoi_km,distance_to_hcm_km,nearest_city,nearest_distance_km
45,Bình Phước,ĐÔNG NAM BỘ,11.8000378,106.9151381,1032.4,113.0,TP.HCM,113.0
46,Tây Ninh,ĐÔNG NAM BỘ,11.0800527,106.2610531,1107.1,49.4,TP.HCM,49.4
47,Bình Dương,ĐÔNG NAM BỘ,11.1826157,106.6738179,1098.3,40.3,TP.HCM,40.3
48,Đồng Nai,ĐÔNG NAM BỘ,11.4285446,107.1624245,1076.5,88.9,TP.HCM,88.9
49,Bà Rịa - Vũng Tàu,ĐÔNG NAM BỘ,10.3496725,107.0860877,1194.7,72.5,TP.HCM,72.5
50,TP.Hồ Chí Minh,ĐÔNG NAM BỘ,10.7755254,106.7021047,1143.7,9.5,TP.HCM,9.5
51,Long An,ĐỒNG BẰNG SÔNG CỬU LONG,10.480828,107.2008562,1181.6,73.1,TP.HCM,73.1
52,Tiền Giang,ĐỒNG BẰNG SÔNG CỬU LONG,10.7803737,105.3031732,1141.1,145.0,TP.HCM,145.0
53,Bến Tre,ĐỒNG BẰNG SÔNG CỬU LONG,9.8837431,106.7340154,1242.8,105.1,TP.HCM,105.1
54,Trà Vinh,ĐỒNG BẰNG SÔNG CỬU LONG,9.5815192,106.5307116,1274.9,138.5,TP.HCM,138.5
55,Vĩnh Long,ĐỒNG BẰNG SÔNG CỬU LONG,10.046765,106.2947443,1222.0,93.8,TP.HCM,93.8
56,Đồng Tháp,ĐỒNG BẰNG SÔNG CỬU LONG,10.425183,105.9271362,1179.1,88.6,TP.HCM,88.6
57,An Giang,ĐỒNG BẰNG SÔNG CỬU LONG,10.3188672,105.0432488,1194.0,182.2,TP.HCM,182.2
58,Kiên Giang,ĐỒNG BẰNG SÔNG CỬU LONG,9.7667502,104.4726437,1260.9,263.6,TP.HCM,263.6
59,Cần Thơ,ĐỒNG BẰNG SÔNG CỬU LONG,10.0362046,105.7872656,1222.3,127.1,TP.HCM,127.1
60,Hậu Giang,ĐỒNG BẰNG SÔNG CỬU LONG,9.7881262,105.6390398,1250.1,158.1,TP.HCM,158.1
61,Sóc Trăng,ĐỒNG BẰNG SÔNG CỬU LONG,9.3203771,106.1059371,1302.2,176.7,TP.HCM,176.7
62,Bạc Liêu,ĐỒNG BẰNG SÔNG CỬU LONG,8.8961366,105.6969598,1349.2,237.4,TP.HCM,237.4
63,Cà Mau,ĐỒNG BẰNG SÔNG CỬU LONG,9.0180177,105.0869724,1338.0,262.4,TP.HCM,262.4
