date,Bảo tàng chứng tích chiến tranh,Đền Ngọc Sơn,Lăng Đồng Khánh,Hội quán Quảng Đông,Bãi biển Sầm Sơn
2019-04-01,19,22,0,0,34
2019-05-01,23,16,0,0,24
2019-06-01,17,15,0,0,52
2019-07-01,20,9,0,0,26
2019-08-01,19,15,0,0,6
2019-09-01,21,17,0,0,4
2019-10-01,31,21,0,0,4
2019-11-01,30,20,0,0,3
2019-12-01,16,18,0,0,4
2020-01-01,10,24,0,0,0
2020-02-01,8,18,0,0,3
2020-03-01,6,13,0,0,4
2020-04-01,11,42,0,0,11
2020-05-01,10,33,0,0,21
2020-06-01,16,21,0,0,29
2020-07-01,16,16,3,3,53
2020-08-01,10,13,0,0,6
2020-09-01,9,11,0,0,4
2020-10-01,18,20,0,0,5
2020-11-01,21,20,0,0,6
2020-12-01,9,19,0,0,4
2021-01-01,11,23,0,0,3
2021-02-01,5,46,0,0,5
2021-03-01,20,35,0,0,11
2021-04-01,32,20,0,0,12
2021-05-01,11,10,0,0,9
2021-06-01,4,8,0,0,7
2021-07-01,4,18,0,0,5
2021-08-01,0,6,3,0,3
2021-09-01,3,14,0,0,3
2021-10-01,8,18,0,0,7
2021-11-01,6,18,0,0,4
2021-12-01,4,17,0,0,6
2022-01-01,8,24,0,4,5
2022-02-01,12,60,0,6,7
2022-03-01,13,35,4,3,14
2022-04-01,23,21,4,3,23
2022-05-01,22,23,0,0,26
2022-06-01,13,20,3,3,52
2022-07-01,23,20,3,0,34
2022-08-01,17,18,0,0,14
2022-09-01,17,21,5,0,9
2022-10-01,34,28,0,0,6
2022-11-01,23,23,3,3,5
2022-12-01,21,22,0,5,8
2023-01-01,17,29,0,4,4
2023-02-01,28,64,0,4,11
2023-03-01,30,40,3,4,14
2023-04-01,34,33,3,2,20
2023-05-01,24,26,3,0,30
2023-06-01,33,25,2,3,51
2023-07-01,31,17,0,0,41
2023-08-01,27,18,0,3,12
2023-09-01,29,25,4,0,4
2023-10-01,32,32,0,3,7
2023-11-01,33,24,0,3,5
2023-12-01,27,28,0,3,7
2024-01-01,38,28,0,3,5
2024-02-01,34,51,4,4,6
2024-03-01,56,43,0,0,7
2024-04-01,47,33,4,4,38
2024-05-01,35,29,3,5,27
2024-06-01,37,32,0,3,43
2024-07-01,38,16,0,0,32
2024-08-01,26,23,4,0,10
2024-09-01,46,30,3,0,6
2024-10-01,39,46,4,5,13
2024-11-01,48,36,0,0,14
2024-12-01,32,31,0,4,9
2025-01-01,27,37,3,0,6
2025-02-01,34,43,4,0,11
2025-03-01,47,35,4,4,17
2025-04-01,90,35,3,3,29
2025-05-01,58,27,0,3,50
2025-06-01,36,24,3,4,53
2025-07-01,37,17,5,3,40
2025-08-01,46,22,4,4,10
2025-09-01,51,30,4,3,6
2025-10-01,40,38,3,4,9
2025-11-01,38,32,1,2,2
