date,Thung lũng hoa Bắc Hà,Bản Dền,Động Hàm Rồng,Chợ Cao Sơn,Nhà thờ Đà Lạt
2019-05-01,22,0,0,6,61
2019-06-01,16,0,0,0,69
2019-07-01,16,0,0,0,76
2019-08-01,19,0,0,0,60
2019-09-01,18,0,0,6,51
2019-10-01,25,0,0,8,56
2019-11-01,20,0,0,8,76
2019-12-01,16,7,0,0,74
2020-01-01,16,0,0,6,69
2020-02-01,8,0,0,11,56
2020-03-01,10,0,0,13,34
2020-04-01,9,0,0,10,30
2020-05-01,12,0,0,9,48
2020-06-01,0,0,0,7,57
2020-07-01,6,0,0,13,86
2020-08-01,8,0,0,10,26
2020-09-01,0,0,0,10,47
2020-10-01,7,0,0,6,52
2020-11-01,15,0,0,10,70
2020-12-01,11,0,0,11,91
2021-01-01,7,0,6,11,61
2021-02-01,0,0,0,0,70
2021-03-01,7,0,0,14,51
2021-04-01,11,0,0,11,76
2021-05-01,0,0,0,8,27
2021-06-01,0,0,0,0,14
2021-07-01,0,0,0,6,30
2021-08-01,0,0,0,6,17
2021-09-01,0,0,0,0,16
2021-10-01,0,0,0,0,17
2021-11-01,0,0,0,5,20
2021-12-01,0,0,0,16,35
2022-01-01,9,0,0,17,43
2022-02-01,0,0,0,16,79
2022-03-01,4,4,11,14,48
2022-04-01,0,8,0,17,77
2022-05-01,4,4,4,16,69
2022-06-01,0,0,0,14,72
2022-07-01,0,0,0,10,84
2022-08-01,6,4,0,10,77
2022-09-01,6,0,0,14,47
2022-10-01,8,0,0,13,60
2022-11-01,6,8,0,9,71
2022-12-01,6,0,0,12,79
2023-01-01,0,0,6,8,66
2023-02-01,0,0,0,11,79
2023-03-01,0,0,0,16,65
2023-04-01,5,0,0,13,59
2023-05-01,0,0,0,12,49
2023-06-01,0,0,0,6,79
2023-07-01,0,0,0,9,68
2023-08-01,0,0,5,11,49
2023-09-01,0,0,0,8,41
2023-10-01,0,0,0,6,52
2023-11-01,6,0,0,11,46
2023-12-01,0,0,5,11,85
2024-01-01,0,0,0,16,47
2024-02-01,0,0,0,14,82
2024-03-01,6,5,0,10,70
2024-04-01,0,0,0,14,61
2024-05-01,0,0,0,9,49
2024-06-01,0,8,0,9,68
2024-07-01,0,0,0,0,60
2024-08-01,0,0,0,12,58
2024-09-01,0,0,0,0,39
2024-10-01,0,0,0,13,49
2024-11-01,0,0,0,9,82
2024-12-01,0,0,0,14,93
2025-01-01,0,0,0,14,68
2025-02-01,0,0,0,11,75
2025-03-01,0,0,12,17,56
2025-04-01,0,6,0,12,46
2025-05-01,0,0,12,13,43
2025-06-01,0,0,0,11,56
2025-07-01,0,0,0,22,64
2025-08-01,0,0,0,17,78
2025-09-01,0,0,0,14,39
2025-10-01,0,0,0,13,43
2025-11-01,1,3,1,20,46
