date,Nhà Xưa,Vinh Sang,Hoàng Hảo,Chùa cổ Long An,Chợ nổi Trà Ôn
2017-06-01,12,10,3,0,0
2017-07-01,14,10,3,0,0
2017-08-01,12,9,3,0,0
2017-09-01,15,9,2,0,0
2017-10-01,18,9,3,0,0
2017-11-01,16,9,2,0,0
2017-12-01,16,9,2,0,0
2018-01-01,14,8,2,0,0
2018-02-01,16,10,3,0,0
2018-03-01,15,11,3,0,0
2018-04-01,17,11,2,0,0
2018-05-01,15,9,2,0,0
2018-06-01,13,8,2,0,0
2018-07-01,14,7,3,0,0
2018-08-01,15,8,2,0,0
2018-09-01,16,8,3,0,0
2018-10-01,17,7,2,0,0
2018-11-01,18,7,2,0,0
2018-12-01,15,7,2,0,0
2019-01-01,17,5,2,0,0
2019-02-01,15,7,2,0,0
2019-03-01,16,7,1,0,0
2019-04-01,17,7,3,0,0
2019-05-01,15,7,3,0,0
2019-06-01,15,6,3,0,0
2019-07-01,14,6,3,0,0
2019-08-01,15,5,3,0,0
2019-09-01,17,5,2,0,0
2019-10-01,17,5,3,0,0
2019-11-01,18,4,2,0,0
2019-12-01,16,5,3,0,0
2020-01-01,19,5,2,0,0
2020-02-01,16,4,2,0,0
2020-03-01,15,4,2,0,0
2020-04-01,17,5,4,0,0
2020-05-01,17,5,3,0,0
2020-06-01,17,5,2,0,0
2020-07-01,15,6,3,0,0
2020-08-01,15,4,4,0,0
2020-09-01,15,5,2,0,0
2020-10-01,18,4,4,0,0
2020-11-01,18,4,2,0,0
2020-12-01,16,4,2,0,0
2021-01-01,18,4,2,0,0
2021-02-01,16,4,2,0,0
2021-03-01,18,5,3,0,0
2021-04-01,17,6,3,0,0
2021-05-01,16,4,4,0,0
2021-06-01,12,4,4,0,0
2021-07-01,14,5,5,0,0
2021-08-01,14,5,6,0,0
2021-09-01,17,5,4,0,0
2021-10-01,21,5,4,0,0
2021-11-01,27,5,4,0,0
2021-12-01,28,5,4,0,0
2022-01-01,29,5,5,1,0
2022-02-01,27,6,5,0,0
2022-03-01,31,6,4,0,0
2022-04-01,32,6,5,0,0
2022-05-01,26,6,4,0,0
2022-06-01,22,6,4,0,0
2022-07-01,20,5,4,0,0
2022-08-01,20,4,5,0,0
2022-09-01,24,5,4,1,0
2022-10-01,26,5,3,1,0
2022-11-01,26,4,3,0,0
2022-12-01,25,5,4,0,0
2023-01-01,27,4,4,0,0
2023-02-01,26,5,4,1,0
2023-03-01,28,6,4,0,0
2023-04-01,27,8,4,1,0
2023-05-01,24,15,4,0,0
2023-06-01,20,12,4,0,0
2023-07-01,19,10,7,0,0
2023-08-01,21,8,5,0,0
2023-09-01,22,6,3,0,0
2023-10-01,27,6,3,0,0
2023-11-01,26,8,3,0,0
2023-12-01,26,6,3,0,0
2024-01-01,26,6,3,0,0
2024-02-01,23,8,4,1,0
2024-03-01,28,6,14,1,0
2024-04-01,28,7,18,1,0
2024-05-01,25,7,15,0,0
2024-06-01,21,6,13,0,0
2024-07-01,23,6,10,0,0
2024-08-01,24,6,8,0,0
2024-09-01,25,6,6,0,0
2024-10-01,34,5,5,0,0
2024-11-01,37,7,5,0,0
2024-12-01,34,7,5,1,1
2025-01-01,30,5,6,0,0
2025-02-01,28,5,7,1,0
2025-03-01,33,5,4,0,0
2025-04-01,29,5,6,1,0
2025-05-01,27,5,5,0,0
2025-06-01,23,6,4,0,0
2025-07-01,35,7,4,0,0
2025-08-01,31,6,4,0,0
2025-09-01,32,6,4,0,0
2025-10-01,37,6,3,0,0
2025-11-01,38,6,3,0,0
