date,Nhà Xưa,Vinh Sang,Hoàng Hảo,Chùa cổ Long An,Chợ nổi Trà Ôn
2004-01-01,0,0,0,0,0
2004-02-01,0,0,0,0,0
2004-03-01,0,0,0,0,0
2004-04-01,0,0,0,0,0
2004-05-01,0,0,0,0,0
2004-06-01,0,0,0,0,0
2004-07-01,0,0,0,0,0
2004-08-01,0,0,0,0,0
2004-09-01,0,0,0,0,0
2004-10-01,0,0,0,0,0
2004-11-01,0,0,0,0,0
2004-12-01,0,0,0,0,0
2005-01-01,0,0,0,0,0
2005-02-01,0,0,0,0,0
2005-03-01,0,0,0,0,0
2005-04-01,0,0,0,0,0
2005-05-01,0,0,0,0,0
2005-06-01,0,0,0,0,0
2005-07-01,0,0,0,0,0
2005-08-01,0,0,0,0,0
2005-09-01,0,0,0,0,0
2005-10-01,0,0,0,0,0
2005-11-01,0,0,0,0,0
2005-12-01,0,0,0,0,0
2006-01-01,0,0,0,0,0
2006-02-01,0,0,0,0,100
2006-03-01,0,0,0,0,0
2006-04-01,0,0,0,0,0
2006-05-01,0,0,0,0,0
2006-06-01,0,0,0,0,0
2006-07-01,0,0,0,0,0
2006-08-01,0,0,0,0,0
2006-09-01,0,0,0,0,0
2006-10-01,0,0,0,0,0
2006-11-01,0,0,0,0,0
2006-12-01,0,0,0,0,0
2007-01-01,0,0,0,0,0
2007-02-01,0,0,0,0,0
2007-03-01,0,0,0,0,0
2007-04-01,0,0,0,0,0
2007-05-01,0,0,0,0,0
2007-06-01,0,0,0,0,0
2007-07-01,0,0,0,0,0
2007-08-01,0,18,0,0,0
2007-09-01,0,0,0,0,0
2007-10-01,0,0,0,0,0
2007-11-01,20,0,0,0,0
2007-12-01,0,19,0,0,0
2008-01-01,0,0,0,0,0
2008-02-01,0,0,0,0,0
2008-03-01,0,0,0,0,0
2008-04-01,0,0,0,0,0
2008-05-01,0,0,0,0,0
2008-06-01,14,0,0,0,0
2008-07-01,0,14,0,0,0
2008-08-01,0,13,0,0,0
2008-09-01,15,13,0,0,0
2008-10-01,14,18,0,0,0
2008-11-01,0,0,0,0,0
2008-12-01,13,15,0,0,0
2009-01-01,0,0,0,0,0
2009-02-01,10,13,0,0,0
2009-03-01,9,12,0,0,0
2009-04-01,10,14,0,0,0
2009-05-01,10,19,0,0,0
2009-06-01,8,9,0,0,0
2009-07-01,0,16,0,0,0
2009-08-01,7,32,0,0,0
2009-09-01,11,27,0,0,0
2009-10-01,11,25,0,0,0
2009-11-01,12,24,0,0,0
2009-12-01,8,22,0,0,0
2010-01-01,0,23,0,0,0
2010-02-01,11,47,0,0,0
2010-03-01,10,26,0,0,0
2010-04-01,11,31,0,0,0
2010-05-01,13,26,0,0,0
2010-06-01,9,28,0,0,0
2010-07-01,6,18,0,0,0
2010-08-01,6,21,0,0,0
2010-09-01,11,13,0,0,0
2010-10-01,10,21,0,0,0
2010-11-01,7,20,0,0,0
2010-12-01,10,22,0,0,0
2011-01-01,9,24,0,0,0
2011-02-01,7,22,0,0,0
2011-03-01,6,21,0,0,0
2011-04-01,7,24,2,0,0
2011-05-01,8,22,0,2,0
2011-06-01,6,22,2,0,0
2011-07-01,7,25,0,0,0
2011-08-01,7,24,2,0,0
2011-09-01,8,23,0,0,0
2011-10-01,10,22,5,0,0
2011-11-01,9,25,5,0,0
2011-12-01,7,19,3,0,0
2012-01-01,5,21,2,0,0
2012-02-01,7,22,3,0,0
2012-03-01,9,21,2,0,0
2012-04-01,9,22,2,0,0
2012-05-01,8,20,3,0,0
2012-06-01,7,18,2,0,0
2012-07-01,7,22,1,0,0
2012-08-01,7,19,2,0,0
2012-09-01,7,17,3,0,0
2012-10-01,8,19,2,0,0
2012-11-01,8,17,2,0,0
2012-12-01,7,15,2,0,0
2013-01-01,8,17,3,0,0
2013-02-01,7,17,3,0,0
2013-03-01,9,18,4,0,0
2013-04-01,9,21,4,0,0
2013-05-01,9,18,3,0,0
2013-06-01,9,19,2,0,0
2013-07-01,8,22,2,0,0
2013-08-01,10,24,2,0,0
2013-09-01,13,21,2,0,0
2013-10-01,11,21,2,0,0
2013-11-01,12,18,2,0,0
2013-12-01,8,16,2,0,0
2014-01-01,8,13,1,0,0
2014-02-01,9,16,1,0,0
2014-03-01,11,14,2,0,0
2014-04-01,9,14,2,0,0
2014-05-01,7,15,2,0,0
2014-06-01,8,13,2,0,0
2014-07-01,8,12,2,0,0
2014-08-01,10,15,2,0,0
2014-09-01,11,13,3,0,0
2014-10-01,12,17,2,0,0
2014-11-01,14,15,3,0,0
2014-12-01,14,15,3,0,0
2015-01-01,10,13,3,0,0
2015-02-01,9,13,2,0,0
2015-03-01,10,15,2,0,0
2015-04-01,11,14,2,0,0
2015-05-01,11,15,2,0,0
2015-06-01,11,12,2,0,0
2015-07-01,12,13,2,0,0
2015-08-01,14,12,2,0,0
2015-09-01,12,15,3,0,0
2015-10-01,14,14,2,0,0
2015-11-01,13,14,2,0,0
2015-12-01,11,13,3,0,0
2016-01-01,12,11,2,0,0
2016-02-01,12,14,2,0,0
2016-03-01,15,13,3,0,0
2016-04-01,13,13,3,0,0
2016-05-01,14,11,3,0,0
2016-06-01,11,10,4,0,0
2016-07-01,11,10,3,0,0
2016-08-01,11,12,2,0,0
2016-09-01,13,10,3,0,0
2016-10-01,14,10,2,0,0
2016-11-01,16,11,2,0,0
2016-12-01,12,9,2,0,0
2017-01-01,14,11,2,0,0
2017-02-01,15,12,2,1,0
2017-03-01,16,10,2,0,0
2017-04-01,16,12,3,0,0
2017-05-01,14,11,2,0,0
