province,region,hashtag_query,video_id,title,channel_title,published_at,views,likes,comments,url
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,k2ZkuIGcoUY,Hà Nội thông qua 'siêu dự án' 855 nghìn tỉ bên sông Hồng - VNAMedia,VNAMEDIA - TRUNG TÂM NỘI DUNG SỐ VÀ TRUYỀN THÔNG,2025-12-14T12:01:24Z,11182,43,2,https://www.youtube.com/watch?v=k2ZkuIGcoUY
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,DIzuNOMM26c,Thời sự nóng: Hà Nội: Nữ chủ tịch nổi tiếng bán ‘dự án ảo’ lừa đảo người dân hơn 850 tỷ đồng,Tiền Phong TV,2025-12-14T23:00:15Z,8152,102,2,https://www.youtube.com/watch?v=DIzuNOMM26c
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,NU-bH0b3FsE,Tổng Bí thư Tô Lâm tiếp xúc cử tri Hà Nội và Hưng Yên| VTV4,VTV4,2025-12-15T18:00:05Z,10342,38,0,https://www.youtube.com/watch?v=NU-bH0b3FsE
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,HmV-Dq77kJ0,Khởi tố hiệu trưởng Trường cao đẳng Du lịch Hà Nội ăn chặn tiền A80 của sinh viên| Báo Đại Đoàn Kết,Đại Đoàn Kết TV,2025-12-16T05:00:32Z,2547,10,0,https://www.youtube.com/watch?v=HmV-Dq77kJ0
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,hwKUiAQNzWw,Khởi tố Hiệu trưởng Trường Cao đẳng Du lịch Hà Nội cùng đồng phạm| QTTV #shorts,"Báo và Phát thanh, Truyền hình Quảng Trị",2025-12-16T14:38:44Z,788,5,0,https://www.youtube.com/watch?v=hwKUiAQNzWw
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,CAf2fb_y24c,"Tường lửa Tràng An [Tập 23] Full 4K | Phim Đài Hà Nội, Phim cảnh sát hình sự, Tội phạm mạng",HTV - Đài Hà Nội,2025-12-16T15:02:31Z,11813,94,0,https://www.youtube.com/watch?v=CAf2fb_y24c
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,jrr6gXv0M7I,"Thời sự Hà Nội sáng 17/12/2025: Hệ thống y tế hiện đại nâng cao chất lượng điều trị,...",HTV - Đài Hà Nội,2025-12-17T01:45:57Z,641,10,0,https://www.youtube.com/watch?v=jrr6gXv0M7I
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,YijuI2K_8TU,"Bản tin trưa 14-12: Hà Nội rét mướt, nhiệt độ từ 12 đến 21 độ C",Báo Sài Gòn Giải Phóng ,2025-12-14T06:00:06Z,14951,23,0,https://www.youtube.com/watch?v=YijuI2K_8TU
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,EOk8FBBWQsI,"Hà Nội sắp có khu đô thị thể thao Olympic hơn 9.000 ha, trị giá 925.000 tỷ đồng | THCL",Thương hiệu & Công luận TV,2025-12-14T13:45:02Z,3070,21,1,https://www.youtube.com/watch?v=EOk8FBBWQsI
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,kppr7J1LmXk,"Miền Bắc se lạnh, Hà Nội có mưa nhỏ? | Tin nhanh",Báo Pháp Luật TP HCM,2025-12-16T09:00:06Z,1269,2,0,https://www.youtube.com/watch?v=kppr7J1LmXk
