"Tỉnh, thành phố",Tổng số 2018,Tổng số 2019,Tổng số 2020,Tổng số 2021,Tổng số 2022,Tổng số 2023,Tổng số Sơ bộ 2024,Nam 2018,Nam 2019,Nam 2020,Nam 2021,Nam 2022,Nam 2023,Nam Sơ bộ 2024,Nữ 2018,Nữ 2019,Nữ 2020,Nữ 2021,Nữ 2022,Nữ 2023,Nữ Sơ bộ 2024,Thành thị 2018,Thành thị 2019,Thành thị 2020,Thành thị 2021,Thành thị 2022,Thành thị 2023,Thành thị Sơ bộ 2024,Nông thôn 2018,Nông thôn 2019,Nông thôn 2020,Nông thôn 2021,Nông thôn 2022,Nông thôn 2023,Nông thôn Sơ bộ 2024
Lào Cai,"720,8","733,3","746,36","761,89","770,59","779,92","792,21","366,1","372,9","380,1","387,09",393,"397,85","403,94","354,7","360,4","366,25","374,8","377,59","382,07","388,27",167,"171,5","197,21","201,9","206,5","210,97","215,02","553,8","561,8","549,15","559,99","564,09","568,95",577.19
Yên Bái,"814,6",823,"831,59","842,67","847,25","855,53","864,38","409,5","414,1","419,1","424,66","427,31","431,73","436,3",405,409,"412,49","418,01","419,93","423,8","428,08","161,9","163,3","171,59","174,73","176,65","179,2","181,26","652,7","659,8",660,"667,94","670,6","676,33",683.12
Thái Nguyên,"1273,6","1290,9","1307,87","1323,15","1335,99","1350,35","1365,2","623,3","631,1","638,93","646,25","652,26","659,07","666,16","650,3","659,9","668,94","676,9","683,72","691,28","699,04","405,2","413,9","419,68","425,3","525,56","548,86","556,07","868,3","877,1","888,19","897,8","810,43","801,49",809.13
Lạng Sơn,"775,9","782,8","788,71","796,94","802,09","807,31","813,99","395,6",400,"403,41","406,85","410,34","413,05","416,49","380,2","382,8","385,3","390,09","391,76","394,27","397,5","157,8","160,3","181,72","183,89","185,87","187,12","192,32",618,"622,5","606,99",613,"616,22","620,19",621.67
Bắc Giang,"1777,5","1810,4","1841,62","1875,24","1890,93","1922,74","1962,6","891,1","908,7","925,46","941,82","952,95","968,92","989,01","886,5","901,7","916,17","933,42","937,97","953,82","973,59","202,9","207,4","333,98","341,66","370,34","379,36","475,54","1574,6","1603,1","1507,65","1533,58","1520,59","1543,38",1487.06
Phú Thọ,"1449,6","1466,4","1481,88","1507,5","1516,92","1530,85","1543,88","719,8","729,3","735,6","747,82","756,09","762,57","769,39","729,8","737,1","746,29","759,72","760,83","768,28","774,49","265,4","269,4","281,83","287,9","293,52","297,27","301,31","1184,2",1197,"1200,06","1219,58","1223,4","1233,58",1242.57
Điện Biên,"590,5","601,7","613,48","625,09","635,92","646,18","656,71","298,9",305,"311,46","317,36","322,96","328,15","333,5","291,6","296,6","302,02","307,8","312,96","318,04","323,21","85,1","86,6","93,17",95,"96,67","98,25","99,84","505,4","515,1","520,31","530,09","539,25","547,94",556.87
Lai Châu,"453,4","462,6","469,81","478,43","482,1","489,28","495,47",231,"235,7","238,42","242,28","244,26","247,93","250,45","222,4",227,"231,39","236,15","237,84","241,36","245,02","66,5","67,8","82,22","84,66","85,29","86,47","87,57","386,9","394,8","387,59","393,77","396,81","402,81",407.91
Sơn La,"1233,1","1252,7","1270,56","1287,72","1300,13","1313,34","1330,58","624,4",635,"644,48","653,49","659,79","666,56","675,35","608,6","617,7","626,07","634,23","640,34","646,78","655,23","170,7","173,5","176,1","180,07","181,8","185,63","191,71","1062,4","1079,2","1094,46","1107,65","1118,32","1127,7",1138.87
Hoà Bình,"850,4","855,8","861,22","871,72","875,38","880,47","894,5","424,8","427,8","432,76","438,04","440,7","443,31","450,4","425,6",428,"428,46","433,68","434,68","437,17","444,11","133,2","134,7","205,41","208,79","222,63","226,06","234,1","717,2","721,1","655,81","662,94","652,75","654,42",660.4
