Địa phương,Năm,Diện tích (Km2),Dân số trung bình (nghìn),Mật độ dân số (người/km2),province_normalized
Điện Biên,2023,9539.9,646.2,67.7,Điện Biên
Điện Biên,2024,9539.9,656.7,68.8,Điện Biên
Đà Nẵng,2018,1284.9,1114.4,867.3,TP. Đà Nẵng
Đà Nẵng,2019,1284.9,1141.1,888,TP. Đà Nẵng
Đà Nẵng,2020,1284.7,1169.5,910,TP. Đà Nẵng
Đà Nẵng,2021,1284.7,1195.5,931,TP. Đà Nẵng
Đà Nẵng,2022,1284.7,1220.2,950,TP. Đà Nẵng
Đà Nẵng,2023,1284.7,1245.2,969.2,TP. Đà Nẵng
Đà Nẵng,2024,1284.7,1276,993.2,TP. Đà Nẵng
Đông Nam Bộ,2018,23552.8,17527.4,744.2,TP. Hồ Chí Minh
Đông Nam Bộ,2019,23552.8,17930.3,761,TP. Hồ Chí Minh
Đông Nam Bộ,2020,23551.4,18342.9,779,TP. Hồ Chí Minh
Đông Nam Bộ,2021,23551.4,18315,778,TP. Hồ Chí Minh
Đông Nam Bộ,2022,23551.4,18810.8,799,TP. Hồ Chí Minh
Đông Nam Bộ,2023,23551.4,19018.8,807.5,TP. Hồ Chí Minh
Đông Nam Bộ,2024,23551.4,19239.4,816.9,TP. Hồ Chí Minh
Đắk Lắk,2018,13030.5,1861.5,142.9,Đắk Lắk
Đắk Lắk,2019,13030.5,1872.6,144,Đắk Lắk
Đắk Lắk,2020,13070.4,1886.9,144,Đắk Lắk
Đắk Lắk,2021,13070.4,1909,146,Đắk Lắk
Đắk Lắk,2022,13070.4,1918.4,147,Đắk Lắk
Đắk Lắk,2023,13070.4,1931.5,147.8,Đắk Lắk
Đắk Lắk,2024,13070.4,1946.2,148.9,Đắk Lắk
Đắk Nông,2018,6509.3,615.4,94.5,Lâm Đồng
Đắk Nông,2019,6509.3,625.8,96,Lâm Đồng
Đắk Nông,2020,6509.3,637.9,98,Lâm Đồng
Đắk Nông,2021,6509.3,664.4,102,Lâm Đồng
Đắk Nông,2022,6509.3,670.6,103,Lâm Đồng
Đắk Nông,2023,6509.3,681.9,104.8,Lâm Đồng
Đắk Nông,2024,6509.3,695.7,106.9,Lâm Đồng
Đồng Nai,2018,5863.6,3055.1,521,Đồng Nai
Đồng Nai,2019,5863.6,3113.7,531,Đồng Nai
Đồng Nai,2020,5863.6,3177.4,542,Đồng Nai
Đồng Nai,2021,5863.6,3169.1,540,Đồng Nai
Đồng Nai,2022,5863.6,3255.8,555,Đồng Nai
Đồng Nai,2023,5863.6,3310.9,564.6,Đồng Nai
Đồng Nai,2024,5863.6,3365.4,574,Đồng Nai
Đồng Tháp,2018,3383.8,1606.1,474.6,Đồng Tháp
Đồng Tháp,2019,3383.8,1598.8,472,Đồng Tháp
Đồng Tháp,2020,3382.3,1600,473,Đồng Tháp
Đồng Tháp,2021,3382.3,1601.3,473,Đồng Tháp
Đồng Tháp,2022,3382.3,1600.2,473,Đồng Tháp
Đồng Tháp,2023,3382.3,1600.2,473.1,Đồng Tháp
Đồng Tháp,2024,3382.3,1601.1,473.4,Đồng Tháp
Đồng bằng sông Cửu Long,2018,40816.4,17280.7,423.4,TP. Cần Thơ
Đồng bằng sông Cửu Long,2019,40816.4,17282.5,423,TP. Cần Thơ
Đồng bằng sông Cửu Long,2020,40921.7,17318.6,423,TP. Cần Thơ
Đồng bằng sông Cửu Long,2021,40921.7,17422.6,426,TP. Cần Thơ
Đồng bằng sông Cửu Long,2022,40922.6,17432.1,426,TP. Cần Thơ
Đồng bằng sông Cửu Long,2023,40921.7,17463.3,426.7,TP. Cần Thơ
Đồng bằng sông Cửu Long,2024,40921.8,17547.9,428.8,TP. Cần Thơ
Đồng bằng sông Hồng,2018,21260,22290.7,1048.5,TP. Hà Nội
Đồng bằng sông Hồng,2019,21260.8,22620.2,1064,TP. Hà Nội
Đồng bằng sông Hồng,2020,21254.6,22920.2,1078,TP. Hà Nội
Đồng bằng sông Hồng,2021,21278.5,23224.8,1091,TP. Hà Nội
Đồng bằng sông Hồng,2022,21278.6,23454.2,1102,TP. Hà Nội
Đồng bằng sông Hồng,2023,21278.6,23732.4,1115.3,TP. Hà Nội
Đồng bằng sông Hồng,2024,21278.7,24016,1128.6,TP. Hà Nội
