Địa phương,Năm,Diện tích (Km2),Dân số trung bình (nghìn),Mật độ dân số (người/km2),province_normalized
Cà Mau,2020,5274.5,1193.9,226,Cà Mau
Cà Mau,2021,5274.5,1208.8,229,Cà Mau
Cà Mau,2022,5274.5,1207.6,229,Cà Mau
Cà Mau,2023,5274.5,1207.4,228.9,Cà Mau
Cà Mau,2024,5274.5,1212,229.8,Cà Mau
Cần Thơ,2018,1439,1227.7,853.2,TP. Cần Thơ
Cần Thơ,2019,1439,1236,859,TP. Cần Thơ
Cần Thơ,2020,1440.4,1240.7,861,TP. Cần Thơ
Cần Thơ,2021,1440.4,1247,866,TP. Cần Thơ
Cần Thơ,2022,1440.4,1252.3,869,TP. Cần Thơ
Cần Thơ,2023,1440.4,1258.9,874,TP. Cần Thơ
Cần Thơ,2024,1440.4,1271.7,882.9,TP. Cần Thơ
Gia Lai,2018,15511,1495.7,96.4,Gia Lai
Gia Lai,2019,15511,1520.2,98,Gia Lai
Gia Lai,2020,15510.1,1541.8,99,Gia Lai
Gia Lai,2021,15510.1,1569.7,101,Gia Lai
Gia Lai,2022,15510.1,1591,103,Gia Lai
Gia Lai,2023,15510.1,1613.9,104.1,Gia Lai
Gia Lai,2024,15510.1,1634.9,105.4,Gia Lai
Hoà Bình,2018,4590.6,850.4,185.2,Phú Thọ
Hoà Bình,2019,4590.6,855.8,186,Phú Thọ
Hoà Bình,2020,4590.3,861.2,188,Phú Thọ
Hoà Bình,2021,4590.3,871.7,190,Phú Thọ
Hoà Bình,2022,4590.3,875.4,191,Phú Thọ
Hoà Bình,2023,4590.3,880.5,191.8,Phú Thọ
Hoà Bình,2024,4590.8,894.5,194.8,Phú Thọ
Hà Giang,2018,7929.5,846.5,106.8,Tuyên Quang
Hà Giang,2019,7929.5,858.1,108,Tuyên Quang
Hà Giang,2020,7927.6,870.2,110,Tuyên Quang
Hà Giang,2021,7927.6,887.1,112,Tuyên Quang
Hà Giang,2022,7927.6,892.7,113,Tuyên Quang
Hà Giang,2023,7927.5,899.9,113.5,Tuyên Quang
Hà Giang,2024,7927.6,911.4,115,Tuyên Quang
Hà Nam,2018,861.9,847.1,982.8,Ninh Bình
Hà Nam,2019,861.9,854.5,991,Ninh Bình
Hà Nam,2020,861.9,861.8,1000,Ninh Bình
Hà Nam,2021,861.9,875.2,1015,Ninh Bình
Hà Nam,2022,861.9,878,1019,Ninh Bình
Hà Nam,2023,861.9,885.9,1027.8,Ninh Bình
Hà Nam,2024,861.9,894.2,1037.5,Ninh Bình
Hà Nội,2018,3358.6,7914.5,2356.5,TP. Hà Nội
Hà Nội,2019,3358.6,8093.9,2410,TP. Hà Nội
Hà Nội,2020,3359.8,8246.5,2454,TP. Hà Nội
Hà Nội,2021,3359.8,8330.8,2480,TP. Hà Nội
Hà Nội,2022,3359.8,8435.7,2511,TP. Hà Nội
Hà Nội,2023,3359.8,8587.1,2555.8,TP. Hà Nội
Hà Nội,2024,3359.8,8717.6,2594.7,TP. Hà Nội
Hà Tĩnh,2018,5990.7,1280.5,213.7,Hà Tĩnh
Hà Tĩnh,2019,5990.7,1290.3,215,Hà Tĩnh
Hà Tĩnh,2020,5994.5,1296.6,216,Hà Tĩnh
Hà Tĩnh,2021,5994.5,1314.1,219,Hà Tĩnh
Hà Tĩnh,2022,5994.5,1323.7,221,Hà Tĩnh
Hà Tĩnh,2023,5994.4,1323.7,220.8,Hà Tĩnh
Hà Tĩnh,2024,5994.5,1329.8,221.8,Hà Tĩnh
Hưng Yên,2018,930.2,1242.4,1335.6,Hưng Yên
Hưng Yên,2019,930.2,1255.8,1350,Hưng Yên
Hưng Yên,2020,930.2,1269.1,1364,Hưng Yên
Hưng Yên,2021,930.2,1284.6,1381,Hưng Yên
Hưng Yên,2022,930.2,1290.9,1388,Hưng Yên
Hưng Yên,2023,930.2,1301,1398.6,Hưng Yên
Hưng Yên,2024,930.2,1318.1,1417,Hưng Yên
Hải Dương,2018,1668.2,1877.7,1125.6,TP. Hải Phòng
Hải Dương,2019,1668.2,1896.9,1137,TP. Hải Phòng
Hải Dương,2020,1668.4,1916.8,1149,TP. Hải Phòng
Hải Dương,2021,1668.3,1936.8,1161,TP. Hải Phòng
Hải Dương,2022,1668.3,1946.8,1167,TP. Hải Phòng
Hải Dương,2023,1668.3,1956.9,1173,TP. Hải Phòng
Hải Dương,2024,1668.3,1978.2,1185.8,TP. Hải Phòng
Hải Phòng,2018,1561.8,2016.4,1291.1,TP. Hải Phòng
Hải Phòng,2019,1561.8,2033.3,1302,TP. Hải Phòng
Hải Phòng,2020,1526.5,2053.5,1345,TP. Hải Phòng
Hải Phòng,2021,1526.5,2072.4,1358,TP. Hải Phòng
Hải Phòng,2022,1526.5,2088,1368,TP. Hải Phòng
Hải Phòng,2023,1526.5,2105,1379,TP. Hải Phòng
Hải Phòng,2024,1526.4,2124.5,1391.8,TP. Hải Phòng
Hậu Giang,2018,1621.7,734.9,453.2,TP. Cần Thơ
Hậu Giang,2019,1621.7,732.2,451,TP. Cần Thơ
Hậu Giang,2020,1622.2,729.8,450,TP. Cần Thơ
Hậu Giang,2021,1622.2,729.9,450,TP. Cần Thơ
Hậu Giang,2022,1622.2,729.5,450,TP. Cần Thơ
Hậu Giang,2023,1622.2,728.3,448.9,TP. Cần Thơ
Hậu Giang,2024,1622.2,730,450,TP. Cần Thơ
Khánh Hoà,2018,5137.8,1224.5,238.3,Khánh Hoà
Khánh Hoà,2019,5137.8,1232.8,240,Khánh Hoà
Khánh Hoà,2020,5199.6,1240.4,239,Khánh Hoà
Khánh Hoà,2021,5199.6,1248.1,240,Khánh Hoà
Khánh Hoà,2022,5199.6,1254,241,Khánh Hoà
Khánh Hoà,2023,5199.6,1260.6,242.4,Khánh Hoà
Khánh Hoà,2024,5200.1,1269.3,244.1,Khánh Hoà
Kiên Giang,2018,6348.8,1718.1,270.6,An Giang
Kiên Giang,2019,6348.8,1723.7,272,An Giang
Kiên Giang,2020,6352,1728.9,272,An Giang
Kiên Giang,2021,6352,1752.3,276,An Giang
Kiên Giang,2022,6352.9,1751.8,276,An Giang
Kiên Giang,2023,6352,1755.3,276.3,An Giang
Kiên Giang,2024,6352.1,1766.7,278.1,An Giang
Kon Tum,2018,9674.2,532.4,55,Quảng Ngãi
Kon Tum,2019,9674.2,543.4,56,Quảng Ngãi
Kon Tum,2020,9674.2,555.6,57,Quảng Ngãi
Kon Tum,2021,9677.3,568.8,59,Quảng Ngãi
Kon Tum,2022,9677.3,579.9,60,Quảng Ngãi
Kon Tum,2023,9677.3,591.3,61.1,Quảng Ngãi
Kon Tum,2024,9677.3,601.8,62.2,Quảng Ngãi
Lai Châu,2018,9068.8,453.4,50,Lai Châu
Lai Châu,2019,9068.8,462.6,51,Lai Châu
Lai Châu,2020,9068.7,469.8,52,Lai Châu
Lai Châu,2021,9068.7,478.4,53,Lai Châu
Lai Châu,2022,9068.7,482.1,53,Lai Châu
Lai Châu,2023,9068.7,489.3,54,Lai Châu
Lai Châu,2024,9068.7,495.5,54.6,Lai Châu
Long An,2018,4494.9,1678.9,373.5,Tây Ninh
Long An,2019,4494.9,1695.1,377,Tây Ninh
Long An,2020,4494.8,1713.7,381,Tây Ninh
Long An,2021,4494.8,1725.8,384,Tây Ninh
Long An,2022,4494.8,1734.3,386,Tây Ninh
Long An,2023,4494.8,1743.4,387.9,Tây Ninh
Long An,2024,4494.8,1756.2,390.7,Tây Ninh
Lào Cai,2018,6364,720.8,113.3,Lào Cai
Lào Cai,2019,6364,733.3,115,Lào Cai
Lào Cai,2020,6364.2,746.4,117,Lào Cai
Lào Cai,2021,6364.3,761.9,120,Lào Cai
Lào Cai,2022,6364.3,770.6,121,Lào Cai
Lào Cai,2023,6364.2,779.9,122.5,Lào Cai
Lào Cai,2024,6364.3,792.2,124.5,Lào Cai
Lâm Đồng,2018,9783.3,1291.4,132,Lâm Đồng
Lâm Đồng,2019,9783.3,1299.3,133,Lâm Đồng
Lâm Đồng,2020,9781.2,1309.8,134,Lâm Đồng
Lâm Đồng,2021,9781.2,1321.8,135,Lâm Đồng
Lâm Đồng,2022,9781.2,1332.5,136,Lâm Đồng
Lâm Đồng,2023,9781.2,1345,137.5,Lâm Đồng
Lâm Đồng,2024,9781.2,1362.5,139.3,Lâm Đồng
Lạng Sơn,2018,8310.1,775.9,93.4,Lạng Sơn
Lạng Sơn,2019,8310.1,782.8,94,Lạng Sơn
Lạng Sơn,2020,8310.2,788.7,95,Lạng Sơn
Lạng Sơn,2021,8310.2,796.9,96,Lạng Sơn
Lạng Sơn,2022,8310.2,802.1,97,Lạng Sơn
Lạng Sơn,2023,8310.2,807.3,97.1,Lạng Sơn
Lạng Sơn,2024,8310.2,814,98,Lạng Sơn
Nam Định,2018,1668.5,1784.2,1069.3,Ninh Bình
Nam Định,2019,1668.6,1780.9,1067,Ninh Bình
Nam Định,2020,1668.8,1780.3,1067,Ninh Bình
Nam Định,2021,1668.8,1836.3,1100,Ninh Bình
Nam Định,2022,1668.8,1876.9,1125,Ninh Bình
Nam Định,2023,1668.8,1887.1,1130.8,Ninh Bình
Nam Định,2024,1668.8,1894.2,1135,Ninh Bình
Nghệ An,2018,16481.6,3291.4,199.7,Nghệ An
Nghệ An,2019,16481.4,3337.2,202,Nghệ An
Nghệ An,2020,16486.5,3365.2,204,Nghệ An
Nghệ An,2021,16486.5,3409.8,207,Nghệ An
Nghệ An,2022,16486.5,3420,207,Nghệ An
Nghệ An,2023,16486.5,3442,208.8,Nghệ An
Nghệ An,2024,16486.5,3472.3,210.6,Nghệ An
Ninh Bình,2018,1386.8,974.7,702.8,Ninh Bình
Ninh Bình,2019,1386.8,984.5,710,Ninh Bình
Ninh Bình,2020,1387.1,993.9,717,Ninh Bình
Ninh Bình,2021,1411.8,1007.6,714,Ninh Bình
Ninh Bình,2022,1411.8,1010.7,716,Ninh Bình
Ninh Bình,2023,1411.8,1017.1,720.4,Ninh Bình
Ninh Bình,2024,1411.9,1030.3,729.8,Ninh Bình
Ninh Thuận,2018,3355.3,588.9,175.5,Khánh Hoà
Ninh Thuận,2019,3355.3,591,176,Khánh Hoà
Ninh Thuận,2020,3355.3,593.6,177,Khánh Hoà
Ninh Thuận,2021,3355.3,596,178,Khánh Hoà
Ninh Thuận,2022,3355.7,598.7,178,Khánh Hoà
Ninh Thuận,2023,3355.7,601.2,179.2,Khánh Hoà
Ninh Thuận,2024,3355.8,612.7,182.6,Khánh Hoà
Phú Thọ,2018,3534.6,1449.6,410.1,Phú Thọ
Phú Thọ,2019,3534.6,1466.4,415,Phú Thọ
Phú Thọ,2020,3534.6,1481.9,419,Phú Thọ
Phú Thọ,2021,3534.6,1507.5,427,Phú Thọ
Phú Thọ,2022,3534.6,1516.9,429,Phú Thọ
Phú Thọ,2023,3534.6,1530.8,433.1,Phú Thọ
Phú Thọ,2024,3534.6,1543.9,436.8,Phú Thọ
Phú Yên,2018,5023.4,871.5,173.5,Đắk Lắk
Phú Yên,2019,5023.4,873.2,174,Đắk Lắk
Phú Yên,2020,5026,874.3,174,Đắk Lắk
Phú Yên,2021,5026,875.5,174,Đắk Lắk
Phú Yên,2022,5026,876.6,174,Đắk Lắk
Phú Yên,2023,5026,877.7,174.6,Đắk Lắk
Phú Yên,2024,5026,885.2,176.1,Đắk Lắk
Quảng Bình,2018,8000,891.1,111.4,Quảng Trị
Quảng Bình,2019,8000,896.6,112,Quảng Trị
Quảng Bình,2020,7998.8,902,113,Quảng Trị
Quảng Bình,2021,7998.8,910.7,114,Quảng Trị
Quảng Bình,2022,7998.8,913.9,114,Quảng Trị
Quảng Bình,2023,7998.8,918.7,114.9,Quảng Trị
Quảng Bình,2024,7998.8,924.8,115.6,Quảng Trị
Quảng Nam,2018,10574.7,1490.8,141,TP. Đà Nẵng
Quảng Nam,2019,10574.7,1497.5,142,TP. Đà Nẵng
Quảng Nam,2020,10574.9,1505,142,TP. Đà Nẵng
Quảng Nam,2021,10574.9,1518.5,144,TP. Đà Nẵng
Quảng Nam,2022,10574.9,1519.4,144,TP. Đà Nẵng
Quảng Nam,2023,10574.9,1526.1,144.3,TP. Đà Nẵng
Quảng Nam,2024,10574.9,1543.9,146,TP. Đà Nẵng
Quảng Ngãi,2018,5155.8,1230.5,238.7,Quảng Ngãi
Quảng Ngãi,2019,5155.8,1231.9,239,Quảng Ngãi
Quảng Ngãi,2020,5155.2,1233.4,239,Quảng Ngãi
Quảng Ngãi,2021,5155.3,1244.1,241,Quảng Ngãi
Quảng Ngãi,2022,5155.3,1245.6,242,Quảng Ngãi
Quảng Ngãi,2023,5155.2,1248.1,242.1,Quảng Ngãi
Quảng Ngãi,2024,5155.3,1259.9,244.4,Quảng Ngãi
Quảng Ninh,2018,6178.2,1303.9,211,Quảng Ninh
Quảng Ninh,2019,6178.2,1324.8,214,Quảng Ninh
Quảng Ninh,2020,6206.9,1337.6,216,Quảng Ninh
Quảng Ninh,2021,6207.8,1350.9,218,Quảng Ninh
Quảng Ninh,2022,6207.9,1362.9,220,Quảng Ninh
Quảng Ninh,2023,6207.9,1381.2,222.5,Quảng Ninh
Quảng Ninh,2024,6208,1396.5,225,Quảng Ninh
Quảng Trị,2018,4621.7,629.7,136.2,Quảng Trị
Quảng Trị,2019,4621.7,633.4,137,Quảng Trị
Quảng Trị,2020,4701.2,637.4,136,Quảng Trị
Quảng Trị,2021,4701.2,647.8,138,Quảng Trị
Quảng Trị,2022,4701.2,650.9,138,Quảng Trị
Quảng Trị,2023,4701.2,654.2,139.2,Quảng Trị
Quảng Trị,2024,4701.2,659.2,140.2,Quảng Trị
Sóc Trăng,2018,3311.9,1208.8,365,TP. Cần Thơ
Sóc Trăng,2019,3311.9,1199.5,362,TP. Cần Thơ
Sóc Trăng,2020,3298.2,1195.7,363,TP. Cần Thơ
Sóc Trăng,2021,3298.2,1206.8,366,TP. Cần Thơ
Sóc Trăng,2022,3298.2,1197.8,363,TP. Cần Thơ
Sóc Trăng,2023,3298.2,1198.8,363.5,TP. Cần Thơ
Sóc Trăng,2024,3298.2,1205.3,365.5,TP. Cần Thơ
Sơn La,2018,14123.5,1233.1,87.3,Sơn La
Sơn La,2019,14123.5,1252.7,89,Sơn La
Sơn La,2020,14109.8,1270.6,90,Sơn La
Sơn La,2021,14109.8,1287.7,91,Sơn La
Sơn La,2022,14109.8,1300.1,92,Sơn La
Sơn La,2023,14109.8,1313.3,93.1,Sơn La
Sơn La,2024,14108.9,1330.6,94.3,Sơn La
TP.Hồ Chí Minh,2018,2061.4,8843.2,4289.9,TP. Hồ Chí Minh
TP.Hồ Chí Minh,2019,2061.4,9038.6,4385,TP. Hồ Chí Minh
TP.Hồ Chí Minh,2020,2095.4,9227.6,4404,TP. Hồ Chí Minh
TP.Hồ Chí Minh,2021,2095.4,9166.8,4375,TP. Hồ Chí Minh
TP.Hồ Chí Minh,2022,2095.4,9389.7,4481,TP. Hồ Chí Minh
TP.Hồ Chí Minh,2023,2095.4,9456.7,4513.1,TP. Hồ Chí Minh
TP.Hồ Chí Minh,2024,2095.4,9543.6,4554.6,TP. Hồ Chí Minh
Thanh Hoá,2018,11114.6,3631.3,326.7,Thanh Hóa
Thanh Hoá,2019,11114.6,3645.8,328,Thanh Hóa
Thanh Hoá,2020,11114.7,3664.9,330,Thanh Hóa
Thanh Hoá,2021,11114.7,3716.4,334,Thanh Hóa
Thanh Hoá,2022,11114.7,3722.1,335,Thanh Hóa
Thanh Hoá,2023,11114.7,3739.5,336.4,Thanh Hóa
Thanh Hoá,2024,11114.7,3764.2,338.7,Thanh Hóa
Thái Bình,2018,1586.4,1854.1,1168.7,Hưng Yên
Thái Bình,2019,1586.4,1862.2,1174,Hưng Yên
Thái Bình,2020,1584.6,1870.2,1180,Hưng Yên
Thái Bình,2021,1584.6,1875.7,1184,Hưng Yên
Thái Bình,2022,1584.6,1878.5,1185,Hưng Yên
Thái Bình,2023,1584.6,1882.3,1187.9,Hưng Yên
Thái Bình,2024,1584.6,1890.4,1193,Hưng Yên
Thái Nguyên,2018,3526.6,1273.6,361.1,Thái Nguyên
Thái Nguyên,2019,3526.6,1290.9,366,Thái Nguyên
Thái Nguyên,2020,3522,1307.9,371,Thái Nguyên
Thái Nguyên,2021,3522,1323.2,376,Thái Nguyên
Thái Nguyên,2022,3522,1336,379,Thái Nguyên
Thái Nguyên,2023,3522,1350.3,383.4,Thái Nguyên
Thái Nguyên,2024,3522,1365.2,387.6,Thái Nguyên
Thừa Thiên Huế,2018,4902.4,1125.4,229.6,TP. Huế
Thừa Thiên Huế,2019,4902.4,1129.5,230,TP. Huế
Thừa Thiên Huế,2020,4947.1,1133.6,229,TP. Huế
Thừa Thiên Huế,2021,4947.1,1153.8,233,TP. Huế
Thừa Thiên Huế,2022,4947.1,1160.2,235,TP. Huế
Thừa Thiên Huế,2023,4947.1,1166.5,235.8,TP. Huế
Thừa Thiên Huế,2024,4947.1,1178.6,238.2,TP. Huế
Tiền Giang,2018,2510.6,1759.1,700.7,Đồng Tháp
Tiền Giang,2019,2510.6,1766.3,704,Đồng Tháp
Tiền Giang,2020,2556.4,1772.5,693,Đồng Tháp
Tiền Giang,2021,2556.4,1779.4,696,Đồng Tháp
Tiền Giang,2022,2556.4,1785.2,698,Đồng Tháp
Tiền Giang,2023,2556.4,1790.7,700.5,Đồng Tháp
