stt,province,festival_name,type,month_gregorian_2018,month_gregorian_2019,month_gregorian_2020,month_gregorian_2021,month_gregorian_2022,month_gregorian_2023,month_gregorian_2024,month_gregorian_2025,province_normalized
65,Khánh Hòa,Lễ hội Tháp Bà Ponagar,Truyền thống,2018-05,2019-04,2020-04,2021-05,2022-04,2023-05,2024-04,2025-04,Khánh Hoà
66,Khánh Hòa,Lễ hội Cầu Ngư,Ngư nghiệp,2018-03,2019-03,2020-03,2021-03,2022-03,2023-03,2024-03,2025-03,Khánh Hoà
67,Kiên Giang,Lễ hội Nguyễn Trung Trực,Lịch sử,2018-10,2019-09,2020-10,2021-10,2022-09,2023-10,2024-09,2025-10,An Giang
68,Kiên Giang,Lễ Ok Om Bok (Phú Quốc),Dân tộc,2018-11,2019-11,2020-11,2021-11,2022-11,2023-11,2024-11,2025-12,An Giang
69,Kon Tum,Lễ Đâm trâu,Dân tộc,2018-11,2019-10,2020-11,2021-11,2022-10,2023-11,2024-11,2025-11,Quảng Ngãi
70,Lào Cai,Lễ hội Roóng Poọc (Giáy),Dân tộc,2018-01,2019-01,2020-01,2021-01,2022-01,2023-01,2024-01,2024-01,Lào Cai
71,Lào Cai,Lễ hội Pút Tồng (Dao đỏ),Dân tộc,2018-01,2019-01,2020-01,2021-01,2022-01,2023-01,2024-01,2024-01,Lào Cai
72,Lào Cai,Hội xuống đồng,Dân tộc,2018-01,2019-01,2020-01,2021-01,2022-01,2023-01,2024-01,2024-01,Lào Cai
73,Lào Cai,Hội đền Bắc Hà (Vũ Văn Mật),Lịch sử,2018-08,2019-08,2020-08,2021-08,2022-08,2023-08,2024-08,2025-08,Lào Cai
74,Lạng Sơn,Hội Đồng Đăng,Truyền thống,2018-02,2019-02,2020-02,2021-02,2022-02,2023-01,2024-02,2025-02,Lạng Sơn
75,Lạng Sơn,Lễ hội Đền Kỳ Cùng,Lịch sử,2018-03,2019-02,2020-02,2021-02,2022-02,2023-02,2024-02,2025-02,Lạng Sơn
76,Lâm Đồng,Lễ Nhu Rhe - Đâm trâu (người Mạ),Dân tộc,2018-02,2019-02,2020-01,2021-02,2022-02,2023-01,2024-02,2025-01,Lâm Đồng
77,Long An,Lễ hội Kỳ Yên đình Tân Phước Tây,Truyền thống,2018-02,2019-02,2020-02,2021-02,2022-02,2023-02,2024-02,2025-02,Tây Ninh
78,Long An,Lễ hội Vía Bà Ngũ Hành,Tôn giáo,2018-03,2019-02,2020-02,2021-02,2022-02,2023-02,2024-02,2025-02,Tây Ninh
79,Long An,Lễ hội Làm Chay,Tôn giáo,2018-03,2019-02,2020-02,2021-02,2022-02,2023-02,2024-02,2025-02,Tây Ninh
80,Nam Định,Lễ hội Phủ Dầy,Tôn giáo,2018-04,2019-04,2020-03,2021-04,2022-04,2023-04,2024-04,2025-03,Ninh Bình
81,Nam Định,Lễ hội Đền Trần,Lịch sử,2018-02,2019-02,2020-02,2021-02,2022-02,2023-02,2024-02,2025-02,Ninh Bình
82,Nam Định,Hội Chợ Viềng,Thương mại,2018-04,2019-04,2020-03,2021-04,2022-04,2023-04,2024-04,2025-03,Ninh Bình
83,Nam Định,Hội chùa Cổ Lễ (Trực Ninh),Tôn giáo,2018-10,2019-10,2020-10,2021-10,2022-10,2023-10,2024-10,2025-11,Ninh Bình
84,Nghệ An,Lễ hội Đền ông Hoàng Mười,Tôn giáo,2018-04,2019-04,2020-04,2021-04,2022-04,2023-04,2024-04,2025-04,Nghệ An
