province,date,year,month,temp_mean,temp_min,temp_max,temp_amplitude,temp_std,rainfall_total,rainfall_max_daily,rainfall_mean_daily,rainfall_days,latitude,longitude
An Giang,2012-02-01,2012,2,26.882758620689657,25.7,28.1,2.400000000000002,0.745495504210474,54.0,29.0,1.8620689655172413,15,10.3188672,105.0432488
An Giang,2012-03-01,2012,3,28.451612903225808,26.6,29.5,2.8999999999999986,0.7966057024408568,143.8,45.5,4.638709677419355,24,10.3188672,105.0432488
An Giang,2012-04-01,2012,4,27.793333333333333,26.8,28.8,2.0,0.6011100842053247,141.7,17.7,4.723333333333333,26,10.3188672,105.0432488
An Giang,2012-05-01,2012,5,27.293548387096774,25.5,28.5,3.0,0.7593573966940584,252.5,39.6,8.14516129032258,31,10.3188672,105.0432488
An Giang,2012-06-01,2012,6,27.290000000000003,26.0,28.3,2.3000000000000007,0.646129057248386,172.6,19.6,5.753333333333333,28,10.3188672,105.0432488
An Giang,2012-07-01,2012,7,26.848387096774193,25.7,27.9,2.1999999999999993,0.6281565451074199,182.3,24.3,5.880645161290323,29,10.3188672,105.0432488
An Giang,2012-08-01,2012,8,27.067741935483873,25.4,28.3,2.900000000000002,0.8117417884911405,165.0,19.3,5.32258064516129,29,10.3188672,105.0432488
An Giang,2012-09-01,2012,9,26.113333333333333,24.7,27.6,2.900000000000002,0.7704603788659734,332.6,26.4,11.086666666666668,30,10.3188672,105.0432488
An Giang,2012-10-01,2012,10,26.68064516129032,24.9,27.8,2.900000000000002,0.6789302147932005,236.9,37.2,7.641935483870968,29,10.3188672,105.0432488
An Giang,2012-11-01,2012,11,26.529999999999998,25.4,27.7,2.3000000000000007,0.561494311697782,170.3,16.7,5.676666666666667,28,10.3188672,105.0432488
An Giang,2012-12-01,2012,12,27.009677419354837,25.9,28.1,2.200000000000003,0.5763996522724355,31.0,8.1,1.0,16,10.3188672,105.0432488
An Giang,2013-01-01,2013,1,25.932258064516127,23.8,27.5,3.6999999999999993,0.834820178950411,39.5,24.1,1.2741935483870968,12,10.3188672,105.0432488
An Giang,2013-02-01,2013,2,28.107142857142858,25.0,29.1,4.100000000000001,0.9962628581552576,15.9,10.9,0.5678571428571428,9,10.3188672,105.0432488
An Giang,2013-03-01,2013,3,29.483870967741936,28.5,31.0,2.5,0.6673813373644525,12.7,2.6,0.4096774193548387,20,10.3188672,105.0432488
An Giang,2013-04-01,2013,4,28.15666666666667,26.2,30.6,4.400000000000002,1.0962894575396787,170.4,23.3,5.680000000000001,29,10.3188672,105.0432488
An Giang,2013-05-01,2013,5,27.864516129032257,26.9,29.0,2.1000000000000014,0.5730319287769658,244.8,20.5,7.896774193548388,31,10.3188672,105.0432488
An Giang,2013-06-01,2013,6,27.006666666666668,25.3,28.7,3.3999999999999986,0.9009318292299031,320.8,35.5,10.693333333333333,30,10.3188672,105.0432488
An Giang,2013-07-01,2013,7,26.480645161290322,25.2,28.0,2.8000000000000007,0.7665591322434339,270.8,32.1,8.735483870967743,31,10.3188672,105.0432488
An Giang,2013-08-01,2013,8,26.770967741935483,25.4,28.1,2.700000000000003,0.7235069906997427,186.4,16.5,6.012903225806451,30,10.3188672,105.0432488
An Giang,2013-09-01,2013,9,26.753333333333334,25.4,28.3,2.900000000000002,0.7431217161794373,263.8,42.1,8.793333333333333,29,10.3188672,105.0432488
An Giang,2013-10-01,2013,10,26.26774193548387,24.9,27.2,2.3000000000000007,0.6188091233836142,263.8,28.9,8.509677419354839,31,10.3188672,105.0432488
An Giang,2013-11-01,2013,11,26.240000000000002,24.3,27.2,2.8999999999999986,0.7490683869152824,155.70000000000002,36.7,5.19,24,10.3188672,105.0432488
An Giang,2013-12-01,2013,12,24.961290322580645,22.7,26.8,4.100000000000001,1.091689033670559,50.5,20.5,1.6290322580645162,7,10.3188672,105.0432488
An Giang,2014-01-01,2014,1,24.700000000000003,22.4,26.8,4.400000000000002,1.0960535266734603,9.5,9.3,0.3064516129032258,3,10.3188672,105.0432488
An Giang,2014-02-01,2014,2,26.342857142857145,24.3,27.2,2.8999999999999986,0.8937762465158596,3.2,1.5,0.1142857142857143,6,10.3188672,105.0432488
An Giang,2014-03-01,2014,3,28.62258064516129,26.9,30.2,3.3000000000000007,0.8558464338183416,24.2,12.8,0.7806451612903226,11,10.3188672,105.0432488
An Giang,2014-04-01,2014,4,28.34,26.9,29.7,2.8000000000000007,0.8467381633311314,160.1,54.8,5.336666666666667,27,10.3188672,105.0432488
An Giang,2014-05-01,2014,5,28.55483870967742,27.6,29.4,1.7999999999999972,0.4978880126276185,114.7,9.4,3.7,31,10.3188672,105.0432488
An Giang,2014-06-01,2014,6,27.566666666666666,26.3,29.2,2.8999999999999986,0.6814453874610599,221.0,19.2,7.366666666666666,29,10.3188672,105.0432488
An Giang,2014-07-01,2014,7,26.961290322580645,25.4,28.1,2.700000000000003,0.663162835385517,244.7,23.3,7.893548387096774,30,10.3188672,105.0432488
An Giang,2014-08-01,2014,8,26.96451612903226,25.4,28.2,2.8000000000000007,0.811397307980407,212.2,27.0,6.84516129032258,30,10.3188672,105.0432488
An Giang,2014-09-01,2014,9,26.803333333333335,25.0,28.0,3.0,0.8466906503979267,191.0,20.6,6.366666666666666,29,10.3188672,105.0432488
An Giang,2014-10-01,2014,10,26.44193548387097,24.9,27.3,2.400000000000002,0.633915974215504,278.9,24.0,8.996774193548386,31,10.3188672,105.0432488
An Giang,2014-11-01,2014,11,26.813333333333333,25.6,27.9,2.299999999999997,0.49600704481463515,145.0,22.7,4.833333333333333,26,10.3188672,105.0432488
An Giang,2014-12-01,2014,12,26.05806451612903,24.2,27.7,3.5,0.7424168611359282,81.5,21.4,2.629032258064516,17,10.3188672,105.0432488
An Giang,2015-01-01,2015,1,25.580645161290324,23.9,26.6,2.700000000000003,0.7617608351001464,8.5,3.0,0.27419354838709675,10,10.3188672,105.0432488
An Giang,2015-02-01,2015,2,26.342857142857145,25.1,28.0,2.8999999999999986,1.0082726598563267,4.0,1.6,0.14285714285714285,4,10.3188672,105.0432488
An Giang,2015-03-01,2015,3,28.98709677419355,27.5,30.4,2.8999999999999986,0.7338219291189864,2.1,0.5,0.06774193548387097,8,10.3188672,105.0432488
An Giang,2015-04-01,2015,4,29.146666666666665,26.5,30.5,4.0,0.9004724175190729,70.7,18.2,2.356666666666667,23,10.3188672,105.0432488
An Giang,2015-05-01,2015,5,29.4741935483871,27.4,30.5,3.1000000000000014,0.73980526353696,62.699999999999996,10.0,2.02258064516129,28,10.3188672,105.0432488
An Giang,2015-06-01,2015,6,28.046666666666667,25.3,30.4,5.099999999999998,1.4421567501329464,156.7,29.5,5.223333333333333,29,10.3188672,105.0432488
An Giang,2015-07-01,2015,7,27.52258064516129,26.2,28.5,2.3000000000000007,0.6365059190190108,148.20000000000002,17.6,4.780645161290323,29,10.3188672,105.0432488
An Giang,2015-08-01,2015,8,27.36774193548387,25.6,28.3,2.6999999999999993,0.6739866946135724,142.6,16.8,4.6,30,10.3188672,105.0432488
An Giang,2015-09-01,2015,9,27.053333333333335,25.1,28.5,3.3999999999999986,0.8912344532022487,250.5,32.0,8.35,30,10.3188672,105.0432488
An Giang,2015-10-01,2015,10,26.93548387096774,26.1,28.0,1.8999999999999986,0.5269714648168169,241.6,25.3,7.793548387096774,30,10.3188672,105.0432488
An Giang,2015-11-01,2015,11,26.85,25.6,27.7,2.099999999999998,0.5563117458949531,179.6,29.6,5.986666666666666,27,10.3188672,105.0432488
An Giang,2015-12-01,2015,12,26.770967741935483,24.8,27.8,3.0,0.7857877357094591,40.0,5.8,1.2903225806451613,19,10.3188672,105.0432488
An Giang,2016-01-01,2016,1,27.716129032258067,26.5,28.6,2.1000000000000014,0.6039297830010524,3.1,0.8,0.1,9,10.3188672,105.0432488
An Giang,2016-02-01,2016,2,27.78620689655172,23.9,29.3,5.400000000000002,1.2417511074317122,1.1,0.6,0.03793103448275863,3,10.3188672,105.0432488
An Giang,2016-03-01,2016,3,29.17096774193548,28.2,29.9,1.6999999999999993,0.44211125929046086,1.6,0.8,0.05161290322580645,5,10.3188672,105.0432488
An Giang,2016-04-01,2016,4,30.64333333333333,29.4,31.8,2.400000000000002,0.6641994576482514,3.1,1.2,0.10333333333333333,9,10.3188672,105.0432488
An Giang,2016-05-01,2016,5,29.364516129032257,26.8,31.7,4.899999999999999,1.7852261083864183,212.4,37.8,6.851612903225806,29,10.3188672,105.0432488
An Giang,2016-06-01,2016,6,27.433333333333334,25.1,29.3,4.199999999999999,0.9876245738389536,356.9,95.8,11.896666666666667,30,10.3188672,105.0432488
An Giang,2016-07-01,2016,7,27.174193548387095,26.0,28.4,2.3999999999999986,0.6319112500636377,223.20000000000002,23.1,7.2,30,10.3188672,105.0432488
An Giang,2016-08-01,2016,8,27.29032258064516,25.4,28.4,3.0,0.7281734402872617,213.9,31.5,6.9,31,10.3188672,105.0432488
An Giang,2016-09-01,2016,9,26.826666666666664,25.5,28.2,2.6999999999999993,0.724418117660929,230.1,19.9,7.67,30,10.3188672,105.0432488
An Giang,2016-10-01,2016,10,26.183870967741935,24.5,27.2,2.6999999999999993,0.6143271518192606,435.1,30.2,14.035483870967743,31,10.3188672,105.0432488
An Giang,2016-11-01,2016,11,26.623333333333335,24.7,27.6,2.900000000000002,0.6447043339089011,209.2,27.9,6.973333333333333,29,10.3188672,105.0432488
An Giang,2016-12-01,2016,12,25.751612903225805,24.0,26.7,2.6999999999999993,0.6443968589525848,177.9,56.2,5.738709677419355,24,10.3188672,105.0432488
An Giang,2017-01-01,2017,1,25.948387096774194,24.6,27.2,2.599999999999998,0.5638386103262367,71.4,11.8,2.303225806451613,24,10.3188672,105.0432488
An Giang,2017-02-01,2017,2,26.164285714285715,25.0,27.4,2.3999999999999986,0.7222466418338087,84.6,32.3,3.0214285714285714,18,10.3188672,105.0432488
An Giang,2017-03-01,2017,3,27.14516129032258,26.3,28.7,2.3999999999999986,0.5801371732486615,89.9,19.3,2.9000000000000004,23,10.3188672,105.0432488
An Giang,2017-04-01,2017,4,27.796666666666667,25.2,29.6,4.400000000000002,1.024352893574627,150.8,28.1,5.026666666666667,26,10.3188672,105.0432488
An Giang,2017-05-01,2017,5,27.503225806451614,26.1,29.1,3.0,0.64626303776287,312.6,24.9,10.083870967741936,31,10.3188672,105.0432488
An Giang,2017-06-01,2017,6,27.433333333333334,26.0,28.7,2.6999999999999993,0.710673955667694,221.0,19.9,7.366666666666666,29,10.3188672,105.0432488
An Giang,2017-07-01,2017,7,26.91290322580645,25.6,28.0,2.3999999999999986,0.6525549455710588,284.1,23.7,9.16451612903226,31,10.3188672,105.0432488
An Giang,2017-08-01,2017,8,26.77741935483871,25.4,28.0,2.6000000000000014,0.6859104302163428,332.7,24.2,10.73225806451613,31,10.3188672,105.0432488
An Giang,2017-09-01,2017,9,27.0,25.0,28.1,3.1000000000000014,0.8085747358459068,327.5,25.0,10.916666666666666,30,10.3188672,105.0432488
An Giang,2017-10-01,2017,10,26.63225806451613,25.0,28.0,3.0,0.6774398358399031,354.0,38.6,11.419354838709678,27,10.3188672,105.0432488
An Giang,2017-11-01,2017,11,26.58,25.1,27.6,2.5,0.76039916922083,117.7,11.2,3.9233333333333333,27,10.3188672,105.0432488
An Giang,2017-12-01,2017,12,25.509677419354837,21.6,27.8,6.199999999999999,1.5391241749145683,91.7,20.3,2.958064516129032,20,10.3188672,105.0432488
An Giang,2018-01-01,2018,1,25.48709677419355,23.9,26.8,2.900000000000002,0.5959541008522224,105.0,30.8,3.3870967741935485,26,10.3188672,105.0432488
An Giang,2018-02-01,2018,2,25.47142857142857,22.6,27.3,4.699999999999999,1.4196653603753713,13.899999999999999,4.5,0.4964285714285714,13,10.3188672,105.0432488
An Giang,2018-03-01,2018,3,27.770967741935483,26.7,28.9,2.1999999999999993,0.5342867821604774,30.3,6.2,0.9774193548387097,21,10.3188672,105.0432488
An Giang,2018-04-01,2018,4,28.903333333333332,26.7,30.5,3.8000000000000007,0.9286561790299855,55.8,11.0,1.8599999999999999,27,10.3188672,105.0432488
An Giang,2018-05-01,2018,5,27.66774193548387,26.5,28.4,1.8999999999999986,0.42220618720730396,202.9,18.7,6.54516129032258,30,10.3188672,105.0432488
An Giang,2018-06-01,2018,6,27.063333333333333,25.4,28.3,2.900000000000002,0.762248639556508,229.7,16.2,7.656666666666666,30,10.3188672,105.0432488
An Giang,2018-07-01,2018,7,26.85483870967742,25.8,28.0,2.1999999999999993,0.586423458874454,259.7,21.0,8.37741935483871,31,10.3188672,105.0432488
An Giang,2018-08-01,2018,8,26.916129032258063,25.4,27.8,2.400000000000002,0.6197293894346407,215.5,23.4,6.951612903225806,31,10.3188672,105.0432488
An Giang,2018-09-01,2018,9,26.706666666666667,25.2,28.0,2.8000000000000007,0.7947818322782302,305.6,47.2,10.186666666666667,30,10.3188672,105.0432488
An Giang,2018-10-01,2018,10,26.825806451612905,25.4,27.9,2.5,0.70614811568843,294.8,38.2,9.509677419354839,29,10.3188672,105.0432488
An Giang,2018-11-01,2018,11,27.05,25.6,28.1,2.5,0.6032955471751623,123.0,20.0,4.1,28,10.3188672,105.0432488
An Giang,2018-12-01,2018,12,27.18064516129032,25.2,28.5,3.3000000000000007,0.8927184531301798,107.7,20.3,3.4741935483870967,28,10.3188672,105.0432488
An Giang,2019-01-01,2019,1,26.374193548387098,24.1,27.8,3.6999999999999993,0.8107476968558018,42.7,9.9,1.3774193548387097,19,10.3188672,105.0432488
An Giang,2019-02-01,2019,2,28.07857142857143,27.5,29.1,1.6000000000000014,0.36853779428995637,6.3999999999999995,2.4,0.22857142857142856,13,10.3188672,105.0432488
An Giang,2019-03-01,2019,3,28.741935483870968,26.9,30.4,3.5,0.8159959940867295,34.0,9.3,1.096774193548387,16,10.3188672,105.0432488
An Giang,2019-04-01,2019,4,29.86,27.6,31.9,4.299999999999997,1.0832900079753853,74.3,14.5,2.4766666666666666,29,10.3188672,105.0432488
An Giang,2019-05-01,2019,5,28.541935483870965,27.5,31.1,3.6000000000000014,0.8984335232497297,175.0,16.6,5.645161290322581,31,10.3188672,105.0432488
An Giang,2019-06-01,2019,6,27.416666666666668,25.8,28.6,2.8000000000000007,0.7012714233414923,258.6,46.8,8.620000000000001,30,10.3188672,105.0432488
An Giang,2019-07-01,2019,7,27.383870967741935,26.2,28.3,2.1000000000000014,0.6532466477493012,194.9,14.1,6.287096774193548,31,10.3188672,105.0432488
An Giang,2019-08-01,2019,8,26.90967741935484,25.9,28.1,2.200000000000003,0.6166332452437078,307.6,20.7,9.922580645161291,31,10.3188672,105.0432488
An Giang,2019-09-01,2019,9,26.80666666666667,25.6,28.5,2.8999999999999986,0.73199459830932,304.4,36.0,10.146666666666667,30,10.3188672,105.0432488
An Giang,2019-10-01,2019,10,26.94193548387097,26.0,28.1,2.1000000000000014,0.5245786839921428,239.5,15.8,7.725806451612903,31,10.3188672,105.0432488
An Giang,2019-11-01,2019,11,26.69,25.1,28.1,3.0,0.7246164264748919,162.2,43.8,5.406666666666666,24,10.3188672,105.0432488
An Giang,2019-12-01,2019,12,26.296774193548387,24.4,27.8,3.400000000000002,0.9210442881019129,7.0,2.4,0.22580645161290322,9,10.3188672,105.0432488
An Giang,2020-01-01,2020,1,26.79032258064516,25.7,27.8,2.1000000000000014,0.5781319565114746,37.9,31.7,1.2225806451612902,14,10.3188672,105.0432488
An Giang,2020-02-01,2020,2,27.441379310344825,26.1,28.6,2.5,0.7871817912107658,23.5,17.5,0.8103448275862069,4,10.3188672,105.0432488
An Giang,2020-03-01,2020,3,29.22258064516129,28.3,30.5,2.1999999999999993,0.5487620476547523,9.2,1.7,0.2967741935483871,18,10.3188672,105.0432488
An Giang,2020-04-01,2020,4,28.85,26.0,31.0,5.0,1.1610785711035496,128.7,28.7,4.29,24,10.3188672,105.0432488
An Giang,2020-05-01,2020,5,29.429032258064513,27.9,31.4,3.5,0.9933759101793898,158.9,46.3,5.125806451612903,29,10.3188672,105.0432488
An Giang,2020-06-01,2020,6,27.316666666666666,25.7,29.1,3.400000000000002,0.6878669344722351,307.7,21.8,10.256666666666666,30,10.3188672,105.0432488
An Giang,2020-07-01,2020,7,27.1,25.6,28.1,2.5,0.5085928299402845,323.2,37.8,10.425806451612903,31,10.3188672,105.0432488
An Giang,2020-08-01,2020,8,27.490322580645163,26.2,29.1,2.900000000000002,0.8953043574523225,240.3,26.6,7.751612903225807,31,10.3188672,105.0432488
An Giang,2020-09-01,2020,9,27.246666666666666,25.2,29.2,4.0,0.8989393494685771,347.7,33.1,11.59,30,10.3188672,105.0432488
An Giang,2020-10-01,2020,10,26.274193548387096,24.7,27.8,3.1000000000000014,0.7206329356593344,455.8,45.3,14.703225806451613,31,10.3188672,105.0432488
An Giang,2020-11-01,2020,11,26.796666666666667,25.6,27.7,2.099999999999998,0.5061574876447542,245.0,98.6,8.166666666666666,26,10.3188672,105.0432488
An Giang,2020-12-01,2020,12,26.26451612903226,24.0,27.5,3.5,0.8455958006426689,82.1,14.8,2.648387096774193,21,10.3188672,105.0432488
An Giang,2021-01-01,2021,1,25.470967741935485,23.0,26.7,3.6999999999999993,0.9819007242374664,20.4,4.6,0.6580645161290322,15,10.3188672,105.0432488
An Giang,2021-02-01,2021,2,25.710714285714285,24.1,27.5,3.3999999999999986,1.0336341088119496,33.8,12.1,1.207142857142857,13,10.3188672,105.0432488
An Giang,2021-03-01,2021,3,28.783870967741933,27.8,30.1,2.3000000000000007,0.7085651107195665,20.3,5.6,0.6548387096774194,15,10.3188672,105.0432488
An Giang,2021-04-01,2021,4,28.240000000000002,26.6,30.3,3.6999999999999993,0.9669004869810235,175.1,19.1,5.836666666666667,29,10.3188672,105.0432488
An Giang,2021-05-01,2021,5,28.016129032258064,26.4,29.4,3.0,0.7248433275283446,175.1,17.5,5.648387096774194,30,10.3188672,105.0432488
An Giang,2021-06-01,2021,6,27.706666666666663,26.4,29.4,3.0,0.7291626436670621,142.0,13.0,4.733333333333333,30,10.3188672,105.0432488
An Giang,2021-07-01,2021,7,27.193548387096776,24.8,29.1,4.300000000000001,0.9521678717085439,335.2,79.7,10.812903225806451,31,10.3188672,105.0432488
An Giang,2021-08-01,2021,8,27.093548387096774,24.7,28.7,4.0,0.8445651677524021,368.1,49.8,11.874193548387098,31,10.3188672,105.0432488
An Giang,2021-09-01,2021,9,26.703333333333333,25.3,28.0,2.6999999999999993,0.5708332284587538,359.6,44.3,11.986666666666668,29,10.3188672,105.0432488
An Giang,2021-10-01,2021,10,26.758064516129032,25.8,28.5,2.6999999999999993,0.6810649472448216,338.2,61.0,10.90967741935484,29,10.3188672,105.0432488
An Giang,2021-11-01,2021,11,26.163333333333334,24.5,27.6,3.1000000000000014,0.8117598308542393,366.5,44.8,12.216666666666667,29,10.3188672,105.0432488
An Giang,2021-12-01,2021,12,25.835483870967742,23.6,27.4,3.799999999999997,0.8938860431086925,50.8,15.1,1.6387096774193548,12,10.3188672,105.0432488
An Giang,2022-01-01,2022,1,26.98709677419355,25.7,28.0,2.3000000000000007,0.5395936344348246,14.9,3.6,0.4806451612903226,21,10.3188672,105.0432488
An Giang,2022-02-01,2022,2,27.88214285714286,25.9,28.9,3.0,0.8576684896247707,42.9,13.9,1.532142857142857,19,10.3188672,105.0432488
An Giang,2022-03-01,2022,3,28.106451612903225,26.5,29.4,2.8999999999999986,0.7877967097633617,137.3,24.3,4.429032258064517,27,10.3188672,105.0432488
An Giang,2022-04-01,2022,4,27.263333333333332,25.6,29.6,4.0,1.0832528705750992,220.8,33.5,7.36,30,10.3188672,105.0432488
An Giang,2022-05-01,2022,5,27.248387096774195,25.5,29.1,3.6000000000000014,0.902910467226932,342.4,33.7,11.04516129032258,31,10.3188672,105.0432488
An Giang,2022-06-01,2022,6,27.403333333333332,26.2,28.6,2.400000000000002,0.6008518856638021,216.5,17.5,7.216666666666667,29,10.3188672,105.0432488
An Giang,2022-07-01,2022,7,26.75483870967742,24.9,28.1,3.200000000000003,0.715000563951955,377.6,45.1,12.180645161290323,31,10.3188672,105.0432488
An Giang,2022-08-01,2022,8,26.809677419354838,25.9,28.2,2.3000000000000007,0.6122934147991885,295.7,23.0,9.538709677419355,31,10.3188672,105.0432488
An Giang,2022-09-01,2022,9,26.543333333333333,25.6,27.9,2.299999999999997,0.6621195502706252,354.1,26.9,11.803333333333335,30,10.3188672,105.0432488
An Giang,2022-10-01,2022,10,26.183870967741935,24.5,27.9,3.3999999999999986,0.6812228094603351,409.9,38.9,13.22258064516129,30,10.3188672,105.0432488
An Giang,2022-11-01,2022,11,26.14,24.4,27.5,3.1000000000000014,0.6631169866102317,263.6,30.6,8.786666666666667,28,10.3188672,105.0432488
An Giang,2022-12-01,2022,12,26.08709677419355,24.3,27.3,3.0,0.9087507672564827,43.5,14.2,1.403225806451613,13,10.3188672,105.0432488
An Giang,2023-01-01,2023,1,25.44516129032258,23.5,27.4,3.8999999999999986,0.984831190163207,70.7,19.7,2.2806451612903227,23,10.3188672,105.0432488
An Giang,2023-02-01,2023,2,27.285714285714285,26.4,28.0,1.6000000000000014,0.5008986633037376,27.3,12.8,0.975,15,10.3188672,105.0432488
An Giang,2023-03-01,2023,3,28.190322580645162,26.2,29.5,3.3000000000000007,0.9456408193070919,9.100000000000001,4.8,0.2935483870967742,10,10.3188672,105.0432488
An Giang,2023-04-01,2023,4,29.033333333333335,26.6,30.6,4.0,0.906806953311846,94.7,17.6,3.1566666666666667,26,10.3188672,105.0432488
An Giang,2023-05-01,2023,5,28.70967741935484,26.8,31.1,4.300000000000001,1.2421365568271678,178.9,20.6,5.770967741935484,31,10.3188672,105.0432488
An Giang,2023-06-01,2023,6,27.64,26.0,28.7,2.6999999999999993,0.6178940875653981,262.1,35.7,8.736666666666668,29,10.3188672,105.0432488
An Giang,2023-07-01,2023,7,27.006451612903227,25.9,28.4,2.5,0.7330009021690523,389.9,31.9,12.577419354838709,31,10.3188672,105.0432488
An Giang,2023-08-01,2023,8,27.787096774193547,25.8,28.7,2.8999999999999986,0.6168424625914737,207.5,25.8,6.693548387096774,31,10.3188672,105.0432488
An Giang,2023-09-01,2023,9,26.836666666666666,25.5,28.0,2.5,0.5517891484687022,435.8,43.0,14.526666666666667,30,10.3188672,105.0432488
An Giang,2023-10-01,2023,10,26.85483870967742,25.7,28.1,2.400000000000002,0.5488404198413357,408.1,44.9,13.16451612903226,31,10.3188672,105.0432488
An Giang,2023-11-01,2023,11,26.683333333333334,25.6,27.8,2.1999999999999993,0.46392874997942385,191.6,21.3,6.386666666666667,24,10.3188672,105.0432488
An Giang,2023-12-01,2023,12,27.15806451612903,25.1,28.4,3.299999999999997,0.7135704560160291,41.1,6.9,1.3258064516129033,24,10.3188672,105.0432488
An Giang,2024-01-01,2024,1,27.296774193548387,26.3,28.0,1.6999999999999993,0.41511755039405573,9.4,1.7,0.3032258064516129,17,10.3188672,105.0432488
An Giang,2024-02-01,2024,2,28.396551724137932,27.6,29.3,1.6999999999999993,0.5421404395151079,5.4,1.3,0.18620689655172415,12,10.3188672,105.0432488
An Giang,2024-03-01,2024,3,29.5,28.7,30.7,2.0,0.4618802153517007,11.8,5.7,0.3806451612903226,16,10.3188672,105.0432488
An Giang,2024-04-01,2024,4,30.936666666666667,29.9,32.3,2.3999999999999986,0.5921808515306283,6.8,2.1,0.22666666666666666,14,10.3188672,105.0432488
An Giang,2024-05-01,2024,5,29.067741935483873,27.4,32.6,5.200000000000003,1.1881041191113944,251.5,29.7,8.112903225806452,30,10.3188672,105.0432488
An Giang,2024-06-01,2024,6,27.94333333333333,25.7,29.7,4.0,1.158680382972395,297.5,40.2,9.916666666666666,30,10.3188672,105.0432488
An Giang,2024-07-01,2024,7,26.970967741935485,25.8,28.2,2.3999999999999986,0.6012174029345778,269.5,25.3,8.693548387096774,31,10.3188672,105.0432488
An Giang,2024-08-01,2024,8,27.65806451612903,26.5,28.9,2.3999999999999986,0.7383649475015228,251.8,22.9,8.12258064516129,31,10.3188672,105.0432488
An Giang,2024-09-01,2024,9,27.19,25.7,28.5,2.8000000000000007,0.7653486922244362,337.7,51.6,11.256666666666666,30,10.3188672,105.0432488
An Giang,2024-10-01,2024,10,26.69677419354839,25.2,28.6,3.400000000000002,0.8368527831376092,513.4,40.9,16.561290322580643,30,10.3188672,105.0432488
An Giang,2024-11-01,2024,11,27.276666666666664,25.4,28.4,3.0,0.8950759294832098,169.8,22.5,5.66,29,10.3188672,105.0432488
An Giang,2024-12-01,2024,12,26.13225806451613,24.5,27.8,3.3000000000000007,0.936442593639778,120.5,26.9,3.8870967741935485,14,10.3188672,105.0432488
An Giang,2025-01-01,2025,1,24.970967741935485,22.9,26.3,3.400000000000002,0.9702898358693647,13.100000000000001,11.8,0.42258064516129035,3,10.3188672,105.0432488
An Giang,2025-02-01,2025,2,26.039285714285715,24.8,27.2,2.3999999999999986,0.8220747400978067,64.3,38.5,2.2964285714285713,16,10.3188672,105.0432488
An Giang,2025-03-01,2025,3,27.70967741935484,26.3,28.7,2.3999999999999986,0.5599731176343341,40.0,17.1,1.2903225806451613,17,10.3188672,105.0432488
An Giang,2025-04-01,2025,4,28.240000000000002,26.0,29.6,3.6000000000000014,0.7522838789198929,168.0,58.3,5.6,25,10.3188672,105.0432488
An Giang,2025-05-01,2025,5,27.364516129032257,26.1,29.3,3.1999999999999993,0.7101870115665652,390.9,41.4,12.609677419354838,31,10.3188672,105.0432488
An Giang,2025-06-01,2025,6,27.09333333333333,25.1,28.8,3.6999999999999993,0.8312571838770032,332.8,32.5,11.093333333333334,30,10.3188672,105.0432488
