date,Chùa Keo,Mũi Né,Non Nước,Rau má,Đồi Sứ
thg 8 2013,1.0,14.0,9.0,7.0,0.0
thg 8 2014,1.0,15.0,8.0,7.0,0.0
thg 8 2015,1.0,18.0,9.0,12.0,0.0
thg 8 2016,1.0,26.0,11.0,16.0,0.0
thg 8 2017,1.0,35.0,12.0,17.0,0.0
thg 8 2018,1.0,39.0,16.0,21.0,0.0
thg 8 2019,1.0,41.0,15.0,24.0,0.0
thg 8 2020,1.0,18.0,13.0,37.0,0.0
thg 8 2021,1.0,8.0,17.0,44.0,0.0
thg 8 2022,1.0,52.0,19.0,42.0,0.0
thg 8 2023,1.0,66.0,18.0,48.0,0.0
thg 8 2024,1.0,65.0,19.0,43.0,0.0
thg 8 2025,1.0,69.0,22.0,50.0,0.0
thg 9 2004,0.0,0.0,0.0,0.0,0.0
thg 9 2005,0.0,0.0,0.0,0.0,0.0
thg 9 2006,0.0,0.0,0.0,0.0,0.0
thg 9 2007,0.0,11.0,18.0,0.0,0.0
thg 9 2008,0.0,12.0,11.0,0.0,0.0
thg 9 2009,0.0,6.0,7.0,3.0,0.0
thg 9 2010,0.0,6.0,6.0,0.0,0.0
thg 9 2011,1.0,8.0,6.0,4.0,0.0
thg 9 2012,1.0,7.0,7.0,5.0,0.0
thg 9 2013,1.0,8.0,9.0,6.0,0.0
thg 9 2014,2.0,10.0,9.0,8.0,0.0
thg 9 2015,1.0,14.0,11.0,12.0,0.0
thg 9 2016,1.0,18.0,13.0,13.0,0.0
thg 9 2017,2.0,22.0,16.0,16.0,0.0
thg 9 2018,2.0,24.0,18.0,20.0,0.0
thg 9 2019,2.0,27.0,18.0,24.0,0.0
thg 9 2020,2.0,22.0,16.0,40.0,0.0
thg 9 2021,2.0,8.0,21.0,38.0,0.0
thg 9 2022,3.0,35.0,24.0,38.0,0.0
thg 9 2023,2.0,31.0,20.0,42.0,0.0
thg 9 2024,1.0,30.0,21.0,36.0,0.0
thg 9 2025,1.0,35.0,22.0,41.0,0.0
