date,Ba Vì,Nhà thờ dòng chúa Cứu Thế,Rau má,Việt phủ Thành Chương,suối nước khoáng nóng Thanh Tân
thg 3 2005,0.0,0.0,0.0,0.0,0.0
thg 3 2006,0.0,0.0,0.0,0.0,0.0
thg 3 2007,0.0,0.0,0.0,0.0,0.0
thg 3 2008,6.0,0.0,0.0,0.0,0.0
thg 3 2009,6.0,0.0,0.0,0.0,0.0
thg 3 2010,5.0,0.0,2.0,2.0,0.0
thg 3 2011,5.0,0.0,1.0,0.0,0.0
thg 3 2012,4.0,0.0,3.0,0.0,0.0
thg 3 2013,6.0,0.0,3.0,0.0,0.0
thg 3 2014,6.0,0.0,4.0,0.0,0.0
thg 3 2015,8.0,0.0,5.0,1.0,0.0
thg 3 2016,13.0,0.0,7.0,0.0,0.0
thg 3 2017,13.0,0.0,9.0,0.0,0.0
thg 3 2018,17.0,0.0,13.0,1.0,0.0
thg 3 2019,19.0,0.0,12.0,1.0,0.0
thg 3 2020,15.0,0.0,16.0,0.0,0.0
thg 3 2021,20.0,0.0,19.0,0.0,0.0
thg 3 2022,43.0,0.0,19.0,1.0,0.0
thg 3 2023,33.0,0.0,23.0,1.0,0.0
thg 3 2024,28.0,0.0,20.0,1.0,0.0
thg 3 2025,23.0,0.0,19.0,1.0,0.0
thg 4 2004,0.0,0.0,0.0,0.0,0.0
thg 4 2005,0.0,0.0,0.0,0.0,0.0
thg 4 2006,0.0,0.0,0.0,0.0,0.0
thg 4 2007,0.0,0.0,0.0,0.0,8.0
thg 4 2008,0.0,0.0,3.0,0.0,0.0
thg 4 2009,6.0,0.0,0.0,0.0,0.0
thg 4 2010,9.0,0.0,2.0,0.0,0.0
thg 4 2011,7.0,0.0,3.0,0.0,0.0
thg 4 2012,6.0,0.0,4.0,0.0,0.0
thg 4 2013,9.0,0.0,3.0,0.0,0.0
thg 4 2014,9.0,0.0,5.0,1.0,0.0
thg 4 2015,11.0,0.0,6.0,0.0,0.0
thg 4 2016,16.0,0.0,9.0,0.0,0.0
thg 4 2017,16.0,0.0,11.0,1.0,0.0
thg 4 2018,20.0,0.0,13.0,1.0,0.0
thg 4 2019,21.0,0.0,15.0,1.0,0.0
thg 4 2020,20.0,0.0,21.0,0.0,0.0
thg 4 2021,24.0,0.0,20.0,0.0,0.0
