date,Rau má,Tháp Bà Ponagar,Vịnh Nha Trang,Vịnh Vân Phong,Động Thiên Hà
thg 7 2009,5.0,0.0,0.0,0.0,0.0
thg 7 2010,4.0,0.0,0.0,0.0,0.0
thg 7 2011,4.0,0.0,1.0,0.0,1.0
thg 7 2012,7.0,1.0,1.0,1.0,0.0
thg 7 2013,8.0,1.0,1.0,0.0,0.0
thg 7 2014,9.0,1.0,2.0,1.0,0.0
thg 7 2015,12.0,1.0,1.0,1.0,0.0
thg 7 2016,15.0,1.0,1.0,1.0,1.0
thg 7 2017,17.0,1.0,2.0,0.0,0.0
thg 7 2018,24.0,2.0,2.0,1.0,0.0
thg 7 2019,26.0,2.0,2.0,1.0,0.0
thg 7 2020,38.0,2.0,2.0,1.0,0.0
thg 7 2021,47.0,0.0,0.0,0.0,1.0
thg 7 2022,42.0,3.0,2.0,1.0,1.0
thg 7 2023,49.0,3.0,2.0,1.0,1.0
thg 7 2024,39.0,3.0,3.0,1.0,1.0
thg 7 2025,45.0,2.0,2.0,1.0,1.0
thg 8 2004,0.0,0.0,0.0,0.0,0.0
thg 8 2005,0.0,0.0,0.0,0.0,0.0
thg 8 2006,0.0,0.0,0.0,0.0,0.0
thg 8 2007,0.0,0.0,0.0,0.0,0.0
thg 8 2008,0.0,0.0,0.0,0.0,0.0
thg 8 2009,0.0,0.0,0.0,0.0,0.0
thg 8 2010,5.0,0.0,0.0,0.0,0.0
thg 8 2011,4.0,0.0,0.0,0.0,1.0
thg 8 2012,6.0,0.0,1.0,0.0,0.0
thg 8 2013,7.0,1.0,1.0,1.0,1.0
thg 8 2014,7.0,1.0,1.0,1.0,0.0
thg 8 2015,12.0,1.0,1.0,1.0,0.0
thg 8 2016,16.0,1.0,1.0,1.0,0.0
thg 8 2017,16.0,1.0,1.0,1.0,0.0
thg 8 2018,21.0,1.0,1.0,1.0,0.0
thg 8 2019,24.0,1.0,1.0,1.0,0.0
thg 8 2020,38.0,1.0,1.0,0.0,1.0
thg 8 2021,50.0,0.0,0.0,0.0,1.0
thg 8 2022,42.0,2.0,1.0,1.0,1.0
thg 8 2023,44.0,2.0,1.0,1.0,1.0
thg 8 2024,42.0,2.0,1.0,1.0,1.0
thg 8 2025,50.0,2.0,1.0,0.0,1.0
thg 9 2004,0.0,0.0,0.0,0.0,0.0
thg 9 2005,0.0,0.0,0.0,0.0,0.0
thg 9 2006,0.0,0.0,0.0,0.0,0.0
thg 9 2007,0.0,0.0,0.0,0.0,0.0
thg 9 2008,0.0,0.0,0.0,0.0,0.0
thg 9 2009,0.0,0.0,0.0,0.0,0.0
thg 9 2010,0.0,0.0,0.0,0.0,0.0
thg 9 2011,4.0,0.0,1.0,1.0,0.0
thg 9 2012,5.0,1.0,1.0,0.0,0.0
thg 9 2013,6.0,1.0,1.0,0.0,0.0
thg 9 2014,8.0,2.0,1.0,0.0,0.0
thg 9 2015,11.0,1.0,1.0,0.0,0.0
thg 9 2016,13.0,1.0,2.0,1.0,0.0
thg 9 2017,16.0,1.0,1.0,1.0,1.0
thg 9 2018,19.0,1.0,1.0,1.0,0.0
thg 9 2019,23.0,1.0,1.0,0.0,1.0
thg 9 2020,38.0,1.0,1.0,2.0,0.0
thg 9 2021,37.0,1.0,1.0,1.0,1.0
thg 9 2022,38.0,1.0,1.0,1.0,1.0
thg 9 2023,38.0,2.0,1.0,2.0,1.0
thg 9 2024,35.0,2.0,1.0,1.0,1.0
thg 9 2025,43.0,2.0,1.0,0.0,1.0
