date,Rau má,Tháp Bà Ponagar,Vịnh Nha Trang,Vịnh Vân Phong,Động Thiên Hà
thg 3 2006,0.0,0.0,0.0,0.0,0.0
thg 3 2007,0.0,0.0,0.0,0.0,0.0
thg 3 2008,0.0,0.0,0.0,8.0,0.0
thg 3 2009,0.0,0.0,4.0,0.0,0.0
thg 3 2010,4.0,0.0,0.0,3.0,0.0
thg 3 2011,3.0,0.0,1.0,0.0,0.0
thg 3 2012,6.0,1.0,1.0,0.0,0.0
thg 3 2013,7.0,1.0,1.0,0.0,0.0
thg 3 2014,10.0,1.0,1.0,0.0,0.0
thg 3 2015,12.0,1.0,2.0,1.0,0.0
thg 3 2016,15.0,1.0,1.0,1.0,1.0
thg 3 2017,20.0,1.0,1.0,1.0,1.0
thg 3 2018,30.0,2.0,2.0,2.0,1.0
thg 3 2019,28.0,2.0,2.0,1.0,1.0
thg 3 2020,37.0,1.0,1.0,0.0,1.0
thg 3 2021,44.0,2.0,2.0,1.0,1.0
thg 3 2022,42.0,3.0,2.0,1.0,3.0
thg 3 2023,54.0,4.0,2.0,1.0,2.0
thg 3 2024,45.0,3.0,1.0,1.0,2.0
thg 3 2025,43.0,2.0,2.0,1.0,2.0
thg 4 2004,0.0,0.0,0.0,0.0,0.0
thg 4 2005,0.0,0.0,0.0,0.0,0.0
thg 4 2006,0.0,0.0,0.0,0.0,0.0
thg 4 2007,0.0,0.0,0.0,0.0,0.0
thg 4 2008,0.0,0.0,0.0,0.0,0.0
thg 4 2009,5.0,0.0,0.0,0.0,0.0
thg 4 2010,4.0,0.0,0.0,0.0,0.0
thg 4 2011,7.0,1.0,0.0,0.0,0.0
thg 4 2012,8.0,1.0,1.0,1.0,0.0
thg 4 2013,8.0,1.0,1.0,1.0,0.0
thg 4 2014,12.0,1.0,1.0,0.0,0.0
thg 4 2015,13.0,1.0,2.0,1.0,0.0
thg 4 2016,21.0,2.0,2.0,1.0,1.0
thg 4 2017,24.0,2.0,1.0,1.0,1.0
thg 4 2018,29.0,2.0,2.0,2.0,1.0
thg 4 2019,35.0,2.0,2.0,1.0,1.0
thg 4 2020,47.0,1.0,1.0,0.0,1.0
thg 4 2021,42.0,2.0,2.0,1.0,1.0
thg 4 2022,46.0,2.0,2.0,2.0,2.0
thg 4 2023,61.0,3.0,3.0,1.0,2.0
thg 4 2024,52.0,4.0,3.0,1.0,2.0
thg 4 2025,41.0,3.0,3.0,1.0,2.0
thg 5 2004,0.0,0.0,0.0,0.0,0.0
thg 5 2005,0.0,0.0,0.0,0.0,0.0
thg 5 2006,0.0,0.0,0.0,28.0,0.0
thg 5 2007,0.0,0.0,0.0,0.0,0.0
thg 5 2008,7.0,0.0,0.0,0.0,0.0
thg 5 2009,5.0,0.0,0.0,0.0,0.0
thg 5 2010,7.0,0.0,0.0,0.0,0.0
thg 5 2011,5.0,0.0,1.0,1.0,0.0
thg 5 2012,8.0,0.0,1.0,1.0,0.0
thg 5 2013,9.0,1.0,1.0,1.0,0.0
thg 5 2014,13.0,1.0,1.0,0.0,0.0
thg 5 2015,17.0,1.0,1.0,1.0,0.0
thg 5 2016,17.0,1.0,1.0,1.0,0.0
thg 5 2017,22.0,1.0,1.0,1.0,0.0
thg 5 2018,30.0,2.0,2.0,2.0,0.0
thg 5 2019,31.0,1.0,2.0,1.0,1.0
thg 5 2020,51.0,2.0,2.0,1.0,1.0
thg 5 2021,53.0,1.0,1.0,1.0,1.0
thg 5 2022,43.0,2.0,2.0,1.0,2.0
thg 5 2023,65.0,3.0,2.0,1.0,2.0
thg 5 2024,43.0,3.0,2.0,1.0,2.0
thg 5 2025,42.0,2.0,2.0,1.0,2.0
thg 6 2004,0.0,0.0,0.0,0.0,0.0
thg 6 2005,0.0,0.0,0.0,0.0,0.0
thg 6 2006,0.0,0.0,0.0,0.0,0.0
thg 6 2007,0.0,0.0,0.0,0.0,0.0
thg 6 2008,8.0,0.0,0.0,0.0,0.0
thg 6 2009,6.0,0.0,0.0,0.0,0.0
thg 6 2010,0.0,0.0,0.0,0.0,0.0
thg 6 2011,5.0,0.0,1.0,0.0,1.0
thg 6 2012,8.0,1.0,1.0,1.0,1.0
thg 6 2013,8.0,1.0,1.0,1.0,0.0
thg 6 2014,9.0,1.0,1.0,1.0,0.0
thg 6 2015,13.0,1.0,1.0,1.0,0.0
thg 6 2016,16.0,1.0,1.0,0.0,0.0
thg 6 2017,19.0,1.0,2.0,1.0,0.0
thg 6 2018,22.0,2.0,2.0,2.0,0.0
thg 6 2019,31.0,2.0,1.0,1.0,1.0
thg 6 2020,43.0,2.0,2.0,1.0,1.0
thg 6 2021,50.0,0.0,0.0,1.0,1.0
thg 6 2022,47.0,2.0,2.0,2.0,1.0
thg 6 2023,63.0,3.0,2.0,1.0,1.0
thg 6 2024,42.0,3.0,2.0,1.0,2.0
thg 6 2025,38.0,2.0,2.0,1.0,1.0
thg 7 2004,0.0,0.0,0.0,0.0,0.0
thg 7 2005,0.0,0.0,0.0,0.0,0.0
thg 7 2006,0.0,0.0,0.0,0.0,0.0
thg 7 2007,0.0,0.0,0.0,0.0,0.0
thg 7 2008,0.0,0.0,0.0,0.0,0.0
