date,Hồ Tây,Ngục Đắk Mil,Núi lửa Băng Mo,Rau má,Thác đá Granite
thg 3 2006,0.0,0.0,0.0,0.0,0.0
thg 3 2007,29.0,0.0,0.0,0.0,0.0
thg 3 2008,18.0,0.0,0.0,0.0,0.0
thg 3 2009,19.0,0.0,0.0,0.0,0.0
thg 3 2010,21.0,0.0,0.0,3.0,0.0
thg 3 2011,18.0,0.0,0.0,2.0,0.0
thg 3 2012,14.0,0.0,0.0,4.0,0.0
thg 3 2013,21.0,0.0,0.0,4.0,0.0
thg 3 2014,23.0,0.0,0.0,6.0,0.0
thg 3 2015,29.0,0.0,0.0,8.0,0.0
thg 3 2016,27.0,0.0,0.0,9.0,0.0
thg 3 2017,32.0,0.0,0.0,12.0,0.0
thg 3 2018,38.0,0.0,0.0,18.0,0.0
thg 3 2019,40.0,0.0,0.0,17.0,0.0
thg 3 2020,31.0,0.0,0.0,23.0,0.0
thg 3 2021,51.0,0.0,0.0,26.0,0.0
thg 3 2022,68.0,0.0,0.0,27.0,0.0
thg 3 2023,63.0,0.0,0.0,33.0,0.0
thg 3 2024,89.0,0.0,0.0,29.0,0.0
thg 3 2025,85.0,0.0,0.0,27.0,0.0
thg 4 2004,0.0,0.0,0.0,0.0,0.0
thg 4 2005,0.0,0.0,0.0,0.0,0.0
thg 4 2006,0.0,0.0,0.0,0.0,0.0
thg 4 2007,25.0,0.0,0.0,0.0,0.0
thg 4 2008,21.0,0.0,0.0,5.0,0.0
thg 4 2009,24.0,0.0,0.0,0.0,0.0
thg 4 2010,26.0,0.0,0.0,3.0,0.0
thg 4 2011,21.0,0.0,0.0,4.0,0.0
thg 4 2012,20.0,0.0,0.0,5.0,0.0
thg 4 2013,26.0,0.0,0.0,5.0,0.0
thg 4 2014,26.0,0.0,0.0,8.0,0.0
thg 4 2015,62.0,0.0,0.0,8.0,0.0
thg 4 2016,29.0,0.0,0.0,13.0,0.0
thg 4 2017,36.0,0.0,0.0,15.0,0.0
thg 4 2018,37.0,0.0,0.0,18.0,0.0
thg 4 2019,55.0,0.0,0.0,22.0,0.0
thg 4 2020,33.0,0.0,0.0,30.0,0.0
thg 4 2021,58.0,0.0,0.0,28.0,0.0
thg 4 2022,80.0,0.0,0.0,28.0,0.0
thg 4 2023,69.0,0.0,0.0,37.0,0.0
thg 4 2024,89.0,0.0,0.0,32.0,0.0
thg 4 2025,81.0,0.0,0.0,26.0,0.0
thg 5 2004,0.0,0.0,0.0,0.0,0.0
thg 5 2005,0.0,0.0,0.0,0.0,0.0
thg 5 2006,24.0,0.0,0.0,0.0,0.0
thg 5 2007,25.0,0.0,0.0,0.0,0.0
thg 5 2008,21.0,0.0,0.0,5.0,0.0
thg 5 2009,19.0,0.0,0.0,2.0,0.0
thg 5 2010,27.0,0.0,0.0,4.0,0.0
thg 5 2011,22.0,0.0,0.0,3.0,0.0
thg 5 2012,23.0,0.0,0.0,5.0,0.0
thg 5 2013,30.0,0.0,0.0,6.0,0.0
thg 5 2014,32.0,0.0,0.0,8.0,0.0
thg 5 2015,39.0,0.0,0.0,10.0,0.0
thg 5 2016,33.0,0.0,0.0,11.0,0.0
thg 5 2017,36.0,0.0,0.0,14.0,0.0
thg 5 2018,49.0,0.0,0.0,19.0,0.0
thg 5 2019,50.0,0.0,0.0,19.0,0.0
thg 5 2020,59.0,0.0,0.0,32.0,0.0
thg 5 2021,48.0,0.0,0.0,33.0,0.0
thg 5 2022,76.0,0.0,0.0,28.0,0.0
thg 5 2023,69.0,0.0,0.0,39.0,0.0
thg 5 2024,83.0,0.0,0.0,29.0,0.0
thg 5 2025,84.0,0.0,0.0,26.0,0.0
thg 6 2004,0.0,0.0,0.0,0.0,0.0
thg 6 2005,0.0,0.0,0.0,0.0,0.0
thg 6 2006,23.0,0.0,0.0,0.0,0.0
thg 6 2007,21.0,0.0,0.0,0.0,0.0
thg 6 2008,24.0,0.0,0.0,0.0,0.0
thg 6 2009,20.0,0.0,0.0,4.0,0.0
thg 6 2010,25.0,0.0,0.0,2.0,0.0
thg 6 2011,25.0,0.0,0.0,3.0,0.0
thg 6 2012,25.0,0.0,0.0,5.0,0.0
thg 6 2013,33.0,0.0,0.0,5.0,0.0
thg 6 2014,39.0,0.0,0.0,6.0,0.0
thg 6 2015,37.0,0.0,0.0,8.0,0.0
thg 6 2016,37.0,0.0,0.0,10.0,0.0
thg 6 2017,36.0,0.0,0.0,12.0,0.0
thg 6 2018,47.0,0.0,0.0,14.0,0.0
thg 6 2019,57.0,0.0,0.0,19.0,0.0
thg 6 2020,62.0,0.0,0.0,26.0,0.0
thg 6 2021,43.0,0.0,0.0,29.0,0.0
thg 6 2022,84.0,0.0,0.0,29.0,0.0
thg 6 2023,73.0,0.0,0.0,39.0,0.0
thg 6 2024,89.0,0.0,0.0,29.0,0.0
thg 6 2025,76.0,0.0,0.0,23.0,0.0
thg 7 2004,87.0,0.0,0.0,0.0,0.0
thg 7 2005,0.0,0.0,0.0,0.0,0.0
thg 7 2006,25.0,0.0,0.0,0.0,0.0
thg 7 2007,18.0,0.0,0.0,0.0,0.0
thg 7 2008,26.0,0.0,0.0,0.0,0.0
thg 7 2009,20.0,0.0,0.0,3.0,0.0
thg 7 2010,18.0,0.0,0.0,2.0,0.0
thg 7 2011,22.0,0.0,0.0,3.0,0.0
thg 7 2012,24.0,0.0,0.0,4.0,0.0
thg 7 2013,27.0,0.0,0.0,5.0,0.0
thg 7 2014,29.0,0.0,0.0,5.0,0.0
thg 7 2015,34.0,0.0,0.0,8.0,0.0
thg 7 2016,33.0,0.0,0.0,9.0,0.0
thg 7 2017,36.0,0.0,0.0,11.0,0.0
thg 7 2018,45.0,0.0,0.0,15.0,0.0
thg 7 2019,51.0,0.0,0.0,16.0,0.0
thg 7 2020,63.0,0.0,0.0,25.0,0.0
thg 7 2021,40.0,0.0,0.0,25.0,0.0
thg 7 2022,79.0,0.0,0.0,26.0,0.0
thg 7 2023,75.0,0.0,0.0,30.0,0.0
thg 7 2024,81.0,0.0,0.0,25.0,0.0
thg 7 2025,100.0,0.0,0.0,30.0,0.0
thg 8 2004,0.0,0.0,0.0,0.0,0.0
thg 8 2005,0.0,0.0,0.0,0.0,0.0
thg 8 2006,34.0,0.0,0.0,0.0,0.0
thg 8 2007,18.0,0.0,0.0,0.0,0.0
thg 8 2008,16.0,0.0,0.0,0.0,0.0
thg 8 2009,52.0,0.0,0.0,2.0,0.0
thg 8 2010,16.0,0.0,0.0,3.0,0.0
thg 8 2011,22.0,0.0,0.0,2.0,0.0
thg 8 2012,23.0,0.0,0.0,4.0,0.0
thg 8 2013,28.0,0.0,0.0,4.0,0.0
thg 8 2014,29.0,0.0,0.0,4.0,0.0
thg 8 2015,30.0,0.0,0.0,7.0,0.0
thg 8 2016,30.0,0.0,0.0,10.0,0.0
thg 8 2017,35.0,0.0,0.0,10.0,0.0
thg 8 2018,40.0,0.0,0.0,13.0,0.0
thg 8 2019,45.0,0.0,0.0,15.0,0.0
thg 8 2020,44.0,0.0,0.0,23.0,0.0
thg 8 2021,23.0,0.0,0.0,27.0,0.0
thg 8 2022,65.0,0.0,0.0,26.0,0.0
thg 8 2023,81.0,0.0,0.0,29.0,0.0
thg 8 2024,83.0,0.0,0.0,27.0,0.0
thg 8 2025,100.0,0.0,0.0,31.0,0.0
thg 9 2004,0.0,0.0,0.0,0.0,0.0
thg 9 2005,0.0,0.0,0.0,0.0,0.0
thg 9 2006,18.0,0.0,0.0,0.0,0.0
thg 9 2007,24.0,0.0,0.0,0.0,0.0
thg 9 2008,17.0,0.0,0.0,0.0,0.0
thg 9 2009,26.0,0.0,0.0,2.0,0.0
thg 9 2010,21.0,0.0,0.0,0.0,0.0
thg 9 2011,19.0,0.0,0.0,2.0,0.0
thg 9 2012,19.0,0.0,0.0,3.0,0.0
thg 9 2013,25.0,0.0,0.0,4.0,0.0
thg 9 2014,27.0,0.0,0.0,5.0,0.0
thg 9 2015,34.0,0.0,0.0,7.0,0.0
thg 9 2016,33.0,0.0,0.0,8.0,0.0
thg 9 2017,36.0,0.0,0.0,10.0,0.0
thg 9 2018,60.0,0.0,0.0,12.0,0.0
thg 9 2019,48.0,0.0,0.0,15.0,0.0
thg 9 2020,52.0,0.0,0.0,25.0,0.0
thg 9 2021,26.0,0.0,0.0,23.0,0.0
thg 9 2022,65.0,0.0,0.0,24.0,0.0
thg 9 2023,77.0,0.0,0.0,26.0,0.0
thg 9 2024,68.0,0.0,0.0,22.0,0.0
thg 9 2025,86.0,0.0,0.0,26.0,0.0
