date,Bạch Mã,Cầu Trường Tiền,Lăng Dục Ðức,Lăng Gia Long,Rau má
thg 2 2013,2.0,0.0,0.0,0.0,2.0
thg 2 2014,3.0,0.0,0.0,0.0,2.0
thg 2 2015,2.0,0.0,0.0,0.0,3.0
thg 2 2016,4.0,0.0,0.0,0.0,4.0
thg 2 2017,4.0,1.0,0.0,0.0,6.0
thg 2 2018,4.0,0.0,0.0,0.0,7.0
thg 2 2019,5.0,1.0,0.0,0.0,9.0
thg 2 2020,4.0,1.0,0.0,0.0,11.0
thg 2 2021,5.0,1.0,0.0,0.0,13.0
thg 2 2022,6.0,2.0,0.0,0.0,13.0
thg 2 2023,10.0,2.0,0.0,0.0,16.0
thg 2 2024,6.0,2.0,0.0,0.0,14.0
thg 2 2025,7.0,2.0,0.0,1.0,13.0
thg 3 2004,0.0,0.0,0.0,0.0,0.0
thg 3 2005,0.0,0.0,0.0,0.0,0.0
thg 3 2006,0.0,0.0,0.0,0.0,0.0
thg 3 2007,5.0,0.0,0.0,0.0,0.0
thg 3 2008,6.0,0.0,0.0,0.0,0.0
thg 3 2009,4.0,0.0,0.0,0.0,0.0
thg 3 2010,2.0,0.0,0.0,0.0,2.0
thg 3 2011,2.0,1.0,0.0,0.0,1.0
thg 3 2012,2.0,0.0,0.0,0.0,2.0
thg 3 2013,2.0,0.0,0.0,0.0,3.0
thg 3 2014,2.0,0.0,0.0,0.0,4.0
thg 3 2015,3.0,0.0,0.0,0.0,5.0
thg 3 2016,3.0,0.0,0.0,0.0,6.0
thg 3 2017,8.0,0.0,0.0,0.0,7.0
thg 3 2018,5.0,0.0,0.0,0.0,12.0
thg 3 2019,5.0,1.0,0.0,0.0,11.0
thg 3 2020,4.0,1.0,0.0,0.0,14.0
thg 3 2021,6.0,1.0,0.0,0.0,17.0
thg 3 2022,7.0,4.0,0.0,0.0,16.0
thg 3 2023,8.0,3.0,0.0,0.0,21.0
thg 3 2024,6.0,3.0,0.0,0.0,17.0
thg 3 2025,7.0,2.0,0.0,0.0,17.0
thg 4 2004,0.0,0.0,0.0,0.0,0.0
thg 4 2005,0.0,0.0,0.0,0.0,0.0
thg 4 2006,0.0,0.0,0.0,0.0,0.0
thg 4 2007,5.0,0.0,0.0,0.0,0.0
thg 4 2008,5.0,0.0,0.0,0.0,0.0
thg 4 2009,4.0,0.0,0.0,0.0,2.0
thg 4 2010,2.0,0.0,0.0,0.0,2.0
thg 4 2011,2.0,0.0,0.0,0.0,3.0
thg 4 2012,2.0,0.0,0.0,0.0,3.0
thg 4 2013,2.0,0.0,0.0,0.0,3.0
thg 4 2014,2.0,1.0,0.0,0.0,5.0
thg 4 2015,3.0,0.0,0.0,0.0,5.0
thg 4 2016,7.0,1.0,0.0,0.0,8.0
thg 4 2017,4.0,0.0,0.0,0.0,9.0
thg 4 2018,4.0,1.0,0.0,0.0,11.0
thg 4 2019,5.0,1.0,0.0,0.0,13.0
thg 4 2020,5.0,1.0,0.0,0.0,18.0
thg 4 2021,6.0,1.0,0.0,0.0,16.0
thg 4 2022,7.0,3.0,0.0,0.0,17.0
thg 4 2023,7.0,3.0,0.0,0.0,23.0
thg 4 2024,6.0,3.0,0.0,0.0,20.0
thg 4 2025,9.0,3.0,0.0,1.0,16.0
thg 5 2004,0.0,0.0,0.0,0.0,0.0
thg 5 2005,0.0,0.0,0.0,0.0,0.0
thg 5 2006,0.0,0.0,0.0,0.0,0.0
thg 5 2007,5.0,6.0,0.0,0.0,0.0
thg 5 2008,6.0,0.0,0.0,0.0,3.0
thg 5 2009,3.0,0.0,0.0,0.0,2.0
thg 5 2010,2.0,0.0,0.0,0.0,3.0
thg 5 2011,2.0,0.0,0.0,0.0,2.0
thg 5 2012,2.0,0.0,0.0,0.0,3.0
thg 5 2013,3.0,0.0,0.0,0.0,4.0
thg 5 2014,2.0,0.0,0.0,0.0,5.0
thg 5 2015,3.0,0.0,0.0,0.0,6.0
thg 5 2016,5.0,0.0,0.0,0.0,7.0
thg 5 2017,3.0,0.0,0.0,0.0,8.0
thg 5 2018,4.0,1.0,0.0,0.0,11.0
thg 5 2019,5.0,0.0,0.0,0.0,12.0
thg 5 2020,6.0,1.0,0.0,0.0,20.0
thg 5 2021,5.0,1.0,0.0,0.0,20.0
thg 5 2022,8.0,2.0,0.0,0.0,17.0
thg 5 2023,7.0,2.0,0.0,0.0,25.0
thg 5 2024,6.0,3.0,0.0,0.0,16.0
thg 5 2025,7.0,2.0,0.0,0.0,16.0
thg 6 2004,0.0,0.0,0.0,0.0,0.0
thg 6 2005,0.0,0.0,0.0,0.0,0.0
thg 6 2006,14.0,0.0,0.0,0.0,0.0
thg 6 2007,0.0,0.0,0.0,0.0,0.0
thg 6 2008,5.0,0.0,0.0,0.0,3.0
thg 6 2009,3.0,0.0,0.0,0.0,2.0
thg 6 2010,3.0,0.0,0.0,0.0,0.0
thg 6 2011,2.0,0.0,0.0,0.0,2.0
thg 6 2012,2.0,0.0,0.0,0.0,3.0
thg 6 2013,3.0,0.0,0.0,0.0,3.0
thg 6 2014,2.0,0.0,0.0,0.0,3.0
thg 6 2015,3.0,0.0,0.0,0.0,5.0
thg 6 2016,3.0,0.0,0.0,0.0,6.0
thg 6 2017,3.0,0.0,0.0,0.0,7.0
thg 6 2018,4.0,0.0,0.0,0.0,8.0
thg 6 2019,6.0,1.0,0.0,0.0,12.0
thg 6 2020,7.0,3.0,0.0,0.0,17.0
thg 6 2021,4.0,1.0,0.0,0.0,19.0
thg 6 2022,8.0,2.0,0.0,0.0,18.0
thg 6 2023,7.0,2.0,0.0,0.0,24.0
thg 6 2024,5.0,2.0,0.0,0.0,16.0
thg 6 2025,7.0,2.0,0.0,0.0,14.0
thg 7 2004,0.0,0.0,0.0,0.0,0.0
thg 7 2005,0.0,0.0,0.0,0.0,0.0
thg 7 2006,0.0,0.0,0.0,0.0,0.0
thg 7 2007,6.0,0.0,0.0,0.0,0.0
thg 7 2008,2.0,0.0,0.0,0.0,0.0
thg 7 2009,3.0,0.0,0.0,0.0,2.0
thg 7 2010,3.0,0.0,0.0,0.0,2.0
thg 7 2011,2.0,0.0,0.0,0.0,2.0
thg 7 2012,2.0,0.0,0.0,0.0,3.0
thg 7 2013,3.0,0.0,0.0,0.0,3.0
thg 7 2014,2.0,0.0,0.0,0.0,3.0
thg 7 2015,2.0,0.0,0.0,0.0,5.0
thg 7 2016,4.0,0.0,0.0,0.0,6.0
thg 7 2017,3.0,0.0,0.0,0.0,7.0
thg 7 2018,4.0,0.0,0.0,0.0,9.0
thg 7 2019,5.0,0.0,0.0,0.0,10.0
thg 7 2020,15.0,1.0,0.0,0.0,15.0
thg 7 2021,4.0,1.0,0.0,0.0,18.0
thg 7 2022,8.0,1.0,0.0,0.0,16.0
thg 7 2023,7.0,1.0,0.0,0.0,19.0
thg 7 2024,78.0,1.0,0.0,0.0,15.0
thg 7 2025,8.0,2.0,0.0,1.0,17.0
thg 8 2004,0.0,0.0,0.0,0.0,0.0
thg 8 2005,0.0,0.0,0.0,0.0,0.0
thg 8 2006,0.0,0.0,0.0,0.0,0.0
thg 8 2007,4.0,0.0,0.0,0.0,0.0
thg 8 2008,3.0,0.0,0.0,0.0,0.0
thg 8 2009,4.0,0.0,0.0,0.0,0.0
thg 8 2010,1.0,0.0,0.0,0.0,2.0
thg 8 2011,2.0,0.0,0.0,0.0,1.0
thg 8 2012,2.0,0.0,0.0,0.0,2.0
thg 8 2013,2.0,0.0,0.0,0.0,3.0
thg 8 2014,2.0,0.0,0.0,0.0,3.0
thg 8 2015,3.0,0.0,0.0,0.0,5.0
thg 8 2016,4.0,0.0,0.0,0.0,6.0
thg 8 2017,4.0,0.0,0.0,0.0,6.0
thg 8 2018,4.0,0.0,0.0,0.0,8.0
thg 8 2019,5.0,0.0,0.0,0.0,9.0
thg 8 2020,11.0,1.0,0.0,0.0,15.0
thg 8 2021,4.0,4.0,0.0,0.0,19.0
thg 8 2022,9.0,1.0,0.0,0.0,16.0
thg 8 2023,6.0,1.0,0.0,0.0,17.0
thg 8 2024,100.0,1.0,0.0,0.0,16.0
thg 8 2025,7.0,2.0,0.0,1.0,19.0
thg 9 2004,0.0,0.0,0.0,0.0,0.0
thg 9 2005,0.0,0.0,0.0,0.0,0.0
thg 9 2006,0.0,0.0,0.0,0.0,0.0
thg 9 2007,0.0,0.0,0.0,0.0,0.0
thg 9 2008,4.0,0.0,0.0,0.0,0.0
thg 9 2009,3.0,0.0,0.0,0.0,0.0
thg 9 2010,2.0,0.0,0.0,0.0,0.0
thg 9 2011,2.0,0.0,0.0,0.0,1.0
thg 9 2012,2.0,0.0,0.0,0.0,2.0
thg 9 2013,2.0,0.0,0.0,0.0,2.0
thg 9 2014,2.0,0.0,0.0,0.0,3.0
thg 9 2015,3.0,0.0,0.0,0.0,4.0
thg 9 2016,4.0,0.0,0.0,0.0,5.0
thg 9 2017,4.0,0.0,0.0,0.0,6.0
thg 9 2018,4.0,0.0,0.0,0.0,7.0
thg 9 2019,4.0,0.0,0.0,0.0,9.0
thg 9 2020,5.0,1.0,0.0,0.0,15.0
thg 9 2021,4.0,1.0,0.0,0.0,14.0
thg 9 2022,9.0,2.0,0.0,0.0,15.0
thg 9 2023,5.0,2.0,0.0,0.0,15.0
thg 9 2024,18.0,2.0,0.0,0.0,14.0
thg 9 2025,7.0,2.0,0.0,0.0,17.0
