date,Côn Đảo,Hòn Gầm Ghì,Hòn Mây Rút,Hòn Một,Rau má
thg 9 2010,7.0,0.0,0.0,0.0,0.0
thg 9 2011,8.0,0.0,0.0,5.0,4.0
thg 9 2012,9.0,0.0,0.0,2.0,6.0
thg 9 2013,12.0,0.0,0.0,2.0,8.0
thg 9 2014,12.0,0.0,0.0,3.0,10.0
thg 9 2015,16.0,0.0,0.0,3.0,14.0
thg 9 2016,15.0,0.0,0.0,4.0,16.0
thg 9 2017,33.0,0.0,0.0,4.0,20.0
thg 9 2018,25.0,0.0,0.0,6.0,24.0
thg 9 2019,31.0,0.0,0.0,7.0,29.0
thg 9 2020,47.0,0.0,0.0,8.0,46.0
thg 9 2021,14.0,0.0,0.0,11.0,45.0
thg 9 2022,43.0,0.0,0.0,8.0,46.0
thg 9 2023,39.0,0.0,0.0,7.0,46.0
thg 9 2024,27.0,0.0,0.0,8.0,43.0
thg 9 2025,37.0,0.0,0.0,10.0,53.0
