date,Rau má,Thác Bản Giốc,rừng Trần Hưng Đạo,Đông Khê,Động Ngườm Ngao
thg 1 2004,0.0,0.0,0.0,0.0,0.0
thg 1 2005,0.0,0.0,0.0,0.0,0.0
thg 1 2006,0.0,0.0,0.0,0.0,0.0
thg 1 2007,0.0,0.0,0.0,0.0,0.0
thg 1 2008,0.0,0.0,0.0,0.0,0.0
thg 1 2009,0.0,18.0,0.0,0.0,0.0
thg 1 2010,5.0,0.0,0.0,0.0,0.0
thg 1 2011,3.0,0.0,0.0,2.0,0.0
thg 1 2012,3.0,0.0,0.0,1.0,0.0
thg 1 2013,7.0,1.0,0.0,2.0,0.0
thg 1 2014,6.0,2.0,0.0,3.0,0.0
thg 1 2015,10.0,3.0,0.0,3.0,0.0
thg 1 2016,13.0,3.0,0.0,3.0,0.0
thg 1 2017,14.0,3.0,0.0,4.0,0.0
thg 1 2018,31.0,4.0,0.0,5.0,0.0
thg 1 2019,28.0,4.0,0.0,7.0,0.0
thg 1 2020,34.0,4.0,0.0,7.0,0.0
thg 1 2021,49.0,3.0,0.0,10.0,0.0
thg 1 2022,45.0,3.0,0.0,14.0,0.0
thg 1 2023,45.0,4.0,0.0,8.0,0.0
thg 1 2024,50.0,5.0,0.0,11.0,0.0
thg 1 2025,42.0,4.0,0.0,10.0,0.0
thg 10 2004,0.0,0.0,0.0,0.0,0.0
thg 10 2005,0.0,0.0,0.0,0.0,0.0
thg 10 2006,0.0,0.0,0.0,0.0,0.0
thg 10 2007,0.0,0.0,0.0,0.0,0.0
thg 10 2008,0.0,0.0,0.0,0.0,0.0
thg 10 2009,0.0,0.0,0.0,0.0,0.0
thg 10 2010,0.0,4.0,0.0,0.0,0.0
thg 10 2011,6.0,2.0,0.0,2.0,0.0
thg 10 2012,11.0,2.0,0.0,2.0,0.0
thg 10 2013,9.0,2.0,1.0,4.0,0.0
thg 10 2014,11.0,2.0,0.0,4.0,0.0
thg 10 2015,16.0,4.0,0.0,4.0,0.0
thg 10 2016,19.0,4.0,0.0,5.0,0.0
thg 10 2017,26.0,9.0,0.0,6.0,0.0
thg 10 2018,32.0,7.0,0.0,7.0,0.0
thg 10 2019,38.0,9.0,0.0,8.0,0.0
thg 10 2020,48.0,6.0,0.0,10.0,0.0
thg 10 2021,50.0,7.0,0.0,9.0,0.0
thg 10 2022,52.0,7.0,0.0,10.0,1.0
thg 10 2023,57.0,10.0,0.0,10.0,0.0
thg 10 2024,54.0,6.0,0.0,11.0,0.0
thg 10 2025,59.0,6.0,0.0,14.0,0.0
thg 11 2004,0.0,0.0,0.0,0.0,0.0
thg 11 2005,0.0,0.0,0.0,0.0,0.0
thg 11 2006,0.0,0.0,0.0,0.0,0.0
thg 11 2007,0.0,0.0,0.0,0.0,0.0
thg 11 2008,0.0,0.0,0.0,0.0,0.0
thg 11 2009,0.0,5.0,0.0,0.0,0.0
thg 11 2010,0.0,0.0,0.0,6.0,0.0
thg 11 2011,6.0,2.0,0.0,3.0,0.0
thg 11 2012,10.0,1.0,0.0,2.0,0.0
thg 11 2013,9.0,2.0,0.0,3.0,0.0
thg 11 2014,11.0,2.0,1.0,3.0,0.0
thg 11 2015,15.0,5.0,0.0,5.0,0.0
thg 11 2016,17.0,3.0,0.0,5.0,0.0
thg 11 2017,30.0,5.0,0.0,6.0,0.0
thg 11 2018,29.0,5.0,0.0,8.0,0.0
thg 11 2019,35.0,4.0,0.0,8.0,0.0
thg 11 2020,56.0,6.0,0.0,9.0,0.0
thg 11 2021,46.0,3.0,0.0,10.0,0.0
thg 11 2022,49.0,5.0,0.0,10.0,0.0
thg 11 2023,58.0,8.0,0.0,10.0,0.0
thg 11 2024,54.0,6.0,1.0,11.0,1.0
thg 11 2025,56.0,5.0,0.0,14.0,0.0
thg 12 2004,0.0,0.0,0.0,0.0,0.0
thg 12 2005,0.0,0.0,0.0,0.0,0.0
thg 12 2006,0.0,0.0,0.0,0.0,0.0
thg 12 2007,0.0,13.0,0.0,0.0,0.0
thg 12 2008,0.0,0.0,0.0,0.0,0.0
thg 12 2009,5.0,5.0,0.0,0.0,0.0
thg 12 2010,0.0,0.0,0.0,4.0,0.0
thg 12 2011,4.0,2.0,0.0,3.0,0.0
thg 12 2012,8.0,2.0,0.0,2.0,0.0
thg 12 2013,8.0,2.0,0.0,3.0,0.0
thg 12 2014,11.0,6.0,1.0,4.0,0.0
thg 12 2015,15.0,3.0,0.0,4.0,0.0
thg 12 2016,15.0,3.0,0.0,5.0,0.0
thg 12 2017,30.0,3.0,0.0,7.0,0.0
thg 12 2018,28.0,4.0,0.0,6.0,0.0
thg 12 2019,35.0,4.0,0.0,8.0,0.0
thg 12 2020,52.0,5.0,1.0,10.0,0.0
thg 12 2021,43.0,4.0,0.0,13.0,0.0
thg 12 2022,47.0,5.0,0.0,10.0,0.0
thg 12 2023,53.0,7.0,1.0,10.0,1.0
thg 12 2024,49.0,5.0,2.0,12.0,1.0
thg 12 2025,57.0,6.0,0.0,14.0,1.0
thg 2 2004,0.0,0.0,0.0,0.0,0.0
thg 2 2005,0.0,0.0,0.0,0.0,0.0
thg 2 2006,0.0,0.0,0.0,0.0,0.0
thg 2 2007,0.0,0.0,0.0,0.0,0.0
thg 2 2008,0.0,0.0,0.0,0.0,0.0
thg 2 2009,9.0,9.0,0.0,0.0,0.0
thg 2 2010,0.0,0.0,0.0,0.0,0.0
thg 2 2011,4.0,4.0,0.0,3.0,0.0
