date,Rau má,Vàm Sát,Thung lũng Mai Châu,Nam Cát Tiên,"Nhà trưng bày hiện vật, cổ vật văn hoá Thái"
thg 2 2023,54.5,0.0,0.0,9.0,0.0
thg 2 2024,49.666666666666664,0.0,0.0,9.0,0.0
thg 2 2025,45.0,0.0,0.0,12.0,0.0
thg 3 2004,0.0,0.0,0.0,0.0,0.0
thg 3 2005,0.0,0.0,0.0,0.0,0.0
thg 3 2006,0.0,0.0,0.0,0.0,0.0
thg 3 2007,0.0,0.0,0.0,0.0,0.0
thg 3 2008,0.0,0.0,0.0,0.0,0.0
thg 3 2009,3.3333333333333335,0.0,0.0,0.0,0.0
thg 3 2010,6.0,0.0,0.0,0.0,0.0
thg 3 2011,5.0,0.0,0.0,1.0,0.0
thg 3 2012,7.333333333333333,0.0,0.0,3.0,0.0
thg 3 2013,10.0,0.0,0.0,2.0,0.0
thg 3 2014,13.666666666666666,0.0,0.0,3.0,0.0
thg 3 2015,15.5,0.0,0.0,4.0,0.0
thg 3 2016,19.5,0.0,0.0,3.0,0.0
thg 3 2017,26.666666666666668,0.0,0.0,4.0,0.0
thg 3 2018,37.5,0.0,0.0,5.0,0.0
thg 3 2019,38.0,0.0,0.0,5.0,0.0
thg 3 2020,48.666666666666664,0.0,0.0,4.0,0.0
thg 3 2021,58.333333333333336,0.0,0.0,8.0,0.0
thg 3 2022,58.333333333333336,0.0,0.0,9.0,0.0
thg 3 2023,69.0,0.0,0.0,9.0,0.0
thg 3 2024,64.0,0.0,0.0,12.0,0.0
thg 3 2025,65.66666666666667,0.0,0.0,14.0,0.0
thg 4 2004,0.0,0.0,0.0,0.0,0.0
thg 4 2005,0.0,0.0,0.0,0.0,0.0
thg 4 2006,0.0,0.0,0.0,0.0,0.0
thg 4 2007,0.0,0.0,0.0,0.0,0.0
thg 4 2008,0.0,0.0,0.0,15.0,0.0
thg 4 2009,6.5,0.0,0.0,0.0,0.0
thg 4 2010,3.5,0.0,0.0,0.0,0.0
thg 4 2011,8.0,0.0,0.0,4.0,0.0
thg 4 2012,11.0,0.0,0.0,3.0,0.0
thg 4 2013,10.0,0.0,0.0,4.0,0.0
thg 4 2014,17.0,0.0,0.0,4.0,0.0
thg 4 2015,17.0,0.0,0.0,5.0,0.0
thg 4 2016,26.0,0.0,0.0,5.0,0.0
thg 4 2017,32.666666666666664,0.0,0.0,5.0,0.0
thg 4 2018,39.666666666666664,0.0,0.0,6.0,0.0
thg 4 2019,47.0,0.0,0.0,7.0,0.0
thg 4 2020,57.5,0.0,0.0,4.0,0.0
thg 4 2021,60.666666666666664,0.0,0.0,10.0,0.0
thg 4 2022,61.666666666666664,0.0,0.0,12.0,0.0
thg 4 2023,80.33333333333333,0.0,0.0,11.0,0.0
thg 4 2024,72.66666666666667,0.0,0.0,18.0,0.0
thg 4 2025,51.5,0.0,0.0,15.0,0.0
thg 5 2004,0.0,0.0,0.0,0.0,0.0
thg 5 2005,0.0,0.0,0.0,0.0,0.0
thg 5 2006,0.0,0.0,0.0,0.0,0.0
thg 5 2007,0.0,0.0,0.0,0.0,0.0
thg 5 2008,9.5,0.0,0.0,0.0,0.0
thg 5 2009,5.5,0.0,0.0,0.0,0.0
thg 5 2010,7.666666666666667,0.0,0.0,0.0,0.0
thg 5 2011,6.5,0.0,0.0,2.0,0.0
thg 5 2012,11.666666666666666,0.0,0.0,3.0,0.0
thg 5 2013,12.0,0.0,0.0,2.0,0.0
thg 5 2014,16.0,0.0,0.0,3.0,0.0
thg 5 2015,21.0,0.0,0.0,3.0,0.0
thg 5 2016,24.0,0.0,0.0,3.0,0.0
thg 5 2017,27.5,0.0,0.0,4.0,0.0
thg 5 2018,40.0,0.0,0.0,4.0,0.0
thg 5 2019,42.333333333333336,0.0,0.0,5.0,0.0
thg 5 2020,69.0,0.0,0.0,7.0,0.0
thg 5 2021,70.33333333333333,0.0,0.0,6.0,0.0
thg 5 2022,58.333333333333336,0.0,0.0,8.0,0.0
thg 5 2023,81.5,0.0,0.0,10.0,0.0
thg 5 2024,57.0,0.0,0.0,13.0,0.0
thg 5 2025,56.666666666666664,0.0,0.0,15.0,0.0
thg 6 2004,0.0,0.0,0.0,0.0,0.0
thg 6 2005,0.0,0.0,0.0,0.0,0.0
thg 6 2006,0.0,0.0,0.0,0.0,0.0
thg 6 2007,0.0,0.0,0.0,0.0,0.0
thg 6 2008,6.0,0.0,0.0,0.0,0.0
thg 6 2009,7.5,0.0,0.0,0.0,0.0
thg 6 2010,6.0,0.0,0.0,0.0,0.0
thg 6 2011,6.0,0.0,0.0,2.0,0.0
thg 6 2012,10.0,0.0,0.0,2.0,0.0
thg 6 2013,10.0,0.0,0.0,2.0,0.0
thg 6 2014,11.5,0.0,0.0,2.0,0.0
thg 6 2015,16.0,0.0,0.0,3.0,0.0
thg 6 2016,21.333333333333332,0.0,0.0,2.0,0.0
thg 6 2017,24.5,0.0,0.0,2.0,0.0
thg 6 2018,29.333333333333332,0.0,0.0,3.0,0.0
thg 6 2019,42.0,0.0,0.0,5.0,0.0
thg 6 2020,62.333333333333336,0.0,0.0,5.0,0.0
thg 6 2021,69.33333333333333,0.0,0.0,2.0,0.0
thg 6 2022,66.0,0.0,0.0,6.0,0.0
thg 6 2023,81.66666666666667,0.0,0.0,10.0,0.0
thg 6 2024,61.666666666666664,0.0,0.0,11.0,0.0
thg 6 2025,51.333333333333336,0.0,0.0,11.0,0.0
thg 7 2004,0.0,0.0,0.0,0.0,0.0
thg 7 2005,0.0,0.0,0.0,0.0,0.0
thg 7 2006,0.0,0.0,0.0,0.0,0.0
thg 7 2007,0.0,0.0,0.0,0.0,0.0
thg 7 2008,0.0,0.0,0.0,0.0,0.0
thg 7 2009,5.0,0.0,0.0,0.0,0.0
thg 7 2010,4.0,0.0,0.0,0.0,0.0
thg 7 2011,5.5,0.0,0.0,3.0,0.0
thg 7 2012,9.0,0.0,0.0,2.0,0.0
thg 7 2013,9.5,0.0,0.0,2.0,0.0
thg 7 2014,11.0,0.0,0.0,2.0,0.0
thg 7 2015,17.0,0.0,0.0,3.0,0.0
thg 7 2016,20.666666666666668,0.0,0.0,3.0,0.0
thg 7 2017,22.0,0.0,0.0,3.0,0.0
thg 7 2018,32.666666666666664,0.0,0.0,3.0,0.0
thg 7 2019,34.666666666666664,0.0,0.0,4.0,0.0
thg 7 2020,54.666666666666664,0.0,0.0,6.0,0.0
thg 7 2021,62.0,0.0,0.0,2.0,0.0
thg 7 2022,59.0,0.0,0.0,6.0,0.0
thg 7 2023,68.0,0.0,0.0,12.0,0.0
thg 7 2024,54.666666666666664,0.0,0.0,13.0,0.0
thg 7 2025,62.0,0.0,0.0,14.0,0.0
thg 8 2004,0.0,0.0,0.0,0.0,0.0
thg 8 2005,0.0,0.0,0.0,0.0,0.0
thg 8 2006,0.0,0.0,0.0,0.0,0.0
thg 8 2007,0.0,0.0,0.0,0.0,0.0
thg 8 2008,0.0,0.0,0.0,0.0,0.0
thg 8 2009,0.0,0.0,0.0,0.0,0.0
thg 8 2010,3.0,0.0,0.0,0.0,0.0
thg 8 2011,5.0,0.0,0.0,2.0,0.0
thg 8 2012,8.0,0.0,0.0,2.0,0.0
thg 8 2013,9.0,0.0,0.0,2.0,0.0
thg 8 2014,10.0,0.0,0.0,3.0,0.0
thg 8 2015,15.5,0.0,0.0,3.0,0.0
thg 8 2016,20.0,0.0,0.0,3.0,0.0
thg 8 2017,20.5,0.0,0.0,3.0,0.0
thg 8 2018,26.5,0.0,0.0,3.0,0.0
thg 8 2019,32.666666666666664,0.0,0.0,4.0,0.0
thg 8 2020,52.0,0.0,0.0,4.0,0.0
thg 8 2021,59.333333333333336,0.0,0.0,2.0,0.0
thg 8 2022,56.333333333333336,0.0,0.0,6.0,0.0
thg 8 2023,62.333333333333336,0.0,0.0,10.0,0.0
thg 8 2024,53.0,0.0,0.0,14.0,0.0
thg 8 2025,62.0,0.0,0.0,13.0,0.0
thg 9 2004,0.0,0.0,0.0,0.0,0.0
thg 9 2005,0.0,0.0,0.0,0.0,0.0
thg 9 2006,0.0,0.0,0.0,0.0,0.0
thg 9 2007,0.0,0.0,0.0,0.0,0.0
thg 9 2008,0.0,0.0,0.0,0.0,0.0
thg 9 2009,2.6666666666666665,0.0,0.0,0.0,0.0
thg 9 2010,0.0,0.0,0.0,0.0,0.0
thg 9 2011,4.666666666666667,0.0,0.0,2.0,0.0
thg 9 2012,6.5,0.0,0.0,2.0,0.0
thg 9 2013,8.0,0.0,0.0,3.0,0.0
thg 9 2014,9.5,0.0,0.0,2.0,0.0
thg 9 2015,15.333333333333334,0.0,0.0,2.0,0.0
thg 9 2016,16.0,0.0,0.0,3.0,0.0
thg 9 2017,20.5,0.0,0.0,2.0,0.0
thg 9 2018,24.5,0.0,0.0,2.0,0.0
thg 9 2019,32.0,0.0,0.0,4.0,0.0
thg 9 2020,51.333333333333336,0.0,0.0,5.0,0.0
thg 9 2021,49.666666666666664,0.0,0.0,2.0,0.0
thg 9 2022,48.0,0.0,0.0,5.0,0.0
thg 9 2023,49.5,0.0,0.0,7.0,0.0
thg 9 2024,47.0,0.0,0.0,9.0,0.0
thg 9 2025,58.333333333333336,0.0,0.0,9.0,0.0
